,OUT,SWUM,POSSE,STANFORD
0,N VM N,NM DT N,FAILURE FAILURE FAILURE,N VM N
1,NM N,NM N,NM N,N N
2,NM N,NM N,N N,N N
3,NM N,NM N,N N,N N
4,NM NM N,NM NM N,N N N,N N N
5,NM NM N,NM NM N,N N N,V N N
6,NM NM N,NM NM N,N N N,N N N
7,NM NM N,NM NM N,N N N,N N N
8,N NM NM N,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N N N N
9,NM N,NM N,N N,N N
10,VM P N,DT PR N,FAILURE FAILURE FAILURE,VM DT N
11,NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,N N N N N,FAILURE FAILURE FAILURE FAILURE FAILURE
12,NM NM N,NM NM N,NM N N,NM N N
13,NM N,NM N,N N,N N
14,NM NM N,NM NM N,NM N N,NM N N
15,NM NM N,NM NM N,NM N N,NM N N
16,NM N,NM N,N N,N N
17,NM NM N,FAILURE FAILURE FAILURE,NM N N,N N N
18,NM NM N,NM NM N,NM N N,NM N N
19,NM N,NM N,N N,N N
20,NM N,NM N,N N,V N
21,NM NM N,NM NM N,NM N N,NM N N
22,NM NM NM N,NM NM NM N,N N N N,N N N N
23,NM NM N,NM NM N,NM N N,V N N
24,DT DT N,NM NM N,NM N N,FAILURE FAILURE FAILURE
25,NM N,NM N,N N,N N
26,NM N,NM N,N N,N N
27,NM NM N,NM NM N,NM N N,NM N N
28,NM NM NM N,NM NM NM N,N N N N,N N N N
29,NM NM N,NM NM N,NM NM N,NM NM N
30,DT N,NM N,N N,FAILURE FAILURE
31,NM N,NM N,N N,N N
32,NM NM N,NM NM N,N N N,N N N
33,NM N,NM N,N N,N N
34,NM NM NM N,NM NM NM N,NM N N N,NM N N N
35,NM NM N,NM NM N,NM N N,N N N
36,DT N,NM N,N N,FAILURE FAILURE
37,NM NM N,NM NM N,N N N,N N N
38,NM N,NM N,N N,N N
39,NM NM N,NM NM N,NM N N,NM N N
40,NM NM NM N,NM NM NM N,N N N N,N N N N
41,DT DT N,NM NM N,NM N N,FAILURE FAILURE FAILURE
42,NM NM N,NM NM N,NM N N,NM N N
43,NM NM NM N,NM NM NM N,NM NM N N,N V N N
44,DT NM NM,DT NM N,NM N N,DT N NM
45,DT N,NM N,NM N,FAILURE FAILURE
46,NM N,NM N,N N,N N
47,NM NM N,NM NM N,N N N,N N N
48,NM N,NM N,N N,N N
49,NPL,N,N,NPL
50,NM N,NM N,N N,N N
51,NM N,NM N,N N,N N
52,NM N,NM N,N N,N N
53,NM N,NM N,NM N,N N
54,NM N,NM N,N N,N N
55,NM NM N,NM NM N,NM N N,N N N
56,NM N,NM N,N N,N N
57,NM N,NM N,N N,N N
58,NM N,NM N,N N,N N
59,NM N,NM N,N N,NM N
60,NM N,NM N,N N,N N
61,NM N,NM N,N N,N N
62,N,N,N,N
63,NM N,NM N,N N,N N
64,NM N,NM N,N N,N N
65,NM N,NM N,N N,N N
