,OUT,SWUM,POSSE,STANFORD
0,NPL,N,N,NPL
1,N,N,N,N
2,N,N,N,N
3,N,N,N,N
4,NM N,NM N,N N,NM N
5,V NM N,NM NM N,V NM N,VBZ NM N
6,N,N,N,N
7,N,N,N,N
8,NM N,NM N,N N,N N
9,N,N,N,N
10,N,N,N,N
11,NPL,N,N,NPL
12,NM N,NM N,N N,NPL VBP
13,NPL,N,N,NPL
14,NM N,NM N,N N,NPL VBP
15,N,N,N,N
16,NM NM NPL,NM NM N,NM N N,NM N NPL
17,NM NM N,NM NM N,NM N N,NM N N
18,NM NPL,NM N,N N,N NPL
19,NM N,NM N,N N,N N
20,NM NPL,NM N,N N,N NPL
21,NM N,NM N,N N,N N
22,N,N,N,N
23,N,N,N,N
24,N,N,N,N
25,N,N,N,N
26,N,N,N,N
27,N,N,N,N
28,N,N,N,N
29,N,N,N,V
30,N,N,N,N
31,N,N,NM,NM
32,N,N,N,N
33,NM NM N,NM NM N,N N N,N N N
34,N,N,N,N
35,N,N,N,N
36,N,N,N,N
37,N,N,N,N
38,N,N,N,N
39,N,N,N,N
40,N,N,N,N
41,NM NM N,NM NM N,N NM N,N NM N
42,NM NM NM N,NM NM NM N,N NM N N,N N N N
43,N,N,N,N
44,N,N,N,N
45,NM N,NM N,N N,NM N
46,N,N,N,N
47,N,N,N,N
48,N,N,N,N
49,NM N,NM N,N N,N N
50,N,N,N,N
51,N,N,N,N
52,NM V,NM N,NM N,N VM
53,N,N,N,N
54,NM N,NM N,N N,N N
55,N,N,N,N
56,N,N,N,N
57,NM N,NM N,N N,N N
58,NM N,NM N,NM N,V N
59,NM DT,NM N,FAILURE FAILURE,N DT
60,NM DT,NM N,FAILURE FAILURE,V DT
61,N,N,N,N
62,NM NPL,NM N,N N,N NPL
63,NM N,NM N,N N,VBZ NM
64,N,N,N,N
65,N,N,N,P
66,NM NPL,NM N,NM N,NM NPL
67,N,N,N,NM
68,N,N,N,N
69,N,N,N,N
70,NPL,N,N,NPL
