,ID,SEQUENCE,POS,PROJECT,FILE
0,0,Sequence Not Str,NN RB NN,pandas-main,_typing.py
1,1,Base Buffer,JJ NN,pandas-main,_typing.py
2,2,Read Buffer,VB NN,pandas-main,_typing.py
3,3,Write Buffer,VB NN,pandas-main,_typing.py
4,4,Read Pickle Buffer,VB NN NN,pandas-main,_typing.py
5,5,Write Excel Buffer,VB NNP NN,pandas-main,_typing.py
6,6,Read Csv Buffer,VB NNP NN,pandas-main,_typing.py
7,7,Test Sub Dict,VB NN NN,pandas-main,conftest.py
8,8,Test Non Dict Mapping,VB RB NN NN,pandas-main,conftest.py
9,9,Versioneer Config,NNP NN,pandas-main,_version.py
10,10,Not This Method,RB DT NN,pandas-main,_version.py
11,11,Int Casting Na N Error,NN VBG NNP NNP NN,pandas-main,__init__.py
12,12,Null Frequency Error,JJ NN NN,pandas-main,__init__.py
13,13,Performance Warning,NN NN,pandas-main,__init__.py
14,14,Unsupported Function Call,JJ NN NN,pandas-main,__init__.py
15,15,Unsorted Index Error,JJ NN NN,pandas-main,__init__.py
16,16,Parser Error,NN NN,pandas-main,__init__.py
17,17,D type Warning,FW NN NN,pandas-main,__init__.py
18,18,Empty Data Error,JJ NNS NN,pandas-main,__init__.py
19,19,Parser Warning,NN NN,pandas-main,__init__.py
20,20,Merge Error,VB NN,pandas-main,__init__.py
21,21,Abstract Method Error,JJ NN NN,pandas-main,__init__.py
22,22,Num ba Util Error,NN FW NN NN,pandas-main,__init__.py
23,23,Duplicate Label Error,JJ NN NN,pandas-main,__init__.py
24,24,Invalid Index Error,JJ NN NN,pandas-main,__init__.py
25,25,Data Error,NN NN,pandas-main,__init__.py
26,26,Specification Error,NN NN,pandas-main,__init__.py
27,27,Chained Assignment Error,JJ NN NN,pandas-main,__init__.py
28,28,Num Expr Clobbering Error,NN NN VBG NN,pandas-main,__init__.py
29,29,Undefined Variable Error,JJ NN NN,pandas-main,__init__.py
30,30,Indexing Error,NN NN,pandas-main,__init__.py
31,31,Pyperclip Exception,NNP NN,pandas-main,__init__.py
32,32,Pyperclip Windows Exception,NNP NNS NN,pandas-main,__init__.py
33,33,CSS Warning,NNP NN,pandas-main,__init__.py
34,34,Possible Data Loss Error,JJ NN NN NN,pandas-main,__init__.py
35,35,Closed File Error,JJ NN NN,pandas-main,__init__.py
36,36,Incompatibility Warning,NN NN,pandas-main,__init__.py
37,37,Attribute Conflict Warning,NN NN NN,pandas-main,__init__.py
