,ID,SEQUENCE,POS,PROJECT,FILE
0,0,new distribution block,JJ NN NN,hadoop,HadoopLogsAnalyzer.java
1,2,get distribution,VB NN,hadoop,HadoopLogsAnalyzer.java
2,3,usage,NN,hadoop,HadoopLogsAnalyzer.java
3,4,path is directory,NN VBZ NN,hadoop,HadoopLogsAnalyzer.java
4,5,initialize hadoop logs analyzer,VB NNP NNS NN,hadoop,HadoopLogsAnalyzer.java
5,6,maybe uncompressed path,RB JJ NN,hadoop,HadoopLogsAnalyzer.java
6,7,set next directory input stream,VB JJ NN NN NN,hadoop,HadoopLogsAnalyzer.java
7,8,read input line,VB NN NN,hadoop,HadoopLogsAnalyzer.java
8,9,read counted line,VB VBN NN,hadoop,HadoopLogsAnalyzer.java
9,10,unread counted line,JJ VBN NN,hadoop,HadoopLogsAnalyzer.java
10,11,apparent conf file header,JJ NN NN NN,hadoop,HadoopLogsAnalyzer.java
11,12,apparent xml file start,JJ NNP NN NN,hadoop,HadoopLogsAnalyzer.java
12,13,read balanced line,JJ JJ NN,hadoop,HadoopLogsAnalyzer.java
13,14,incorporate spread,JJ NN,hadoop,HadoopLogsAnalyzer.java
14,15,canonical distributions enter,JJ NNS VB,hadoop,HadoopLogsAnalyzer.java
15,16,process job line,VB NN NN,hadoop,HadoopLogsAnalyzer.java
16,17,process task line,VB NN NN,hadoop,HadoopLogsAnalyzer.java
17,18,counter pattern,NN NN,hadoop,HadoopLogsAnalyzer.java
18,19,parse counter,VB NN,hadoop,HadoopLogsAnalyzer.java
19,20,set,VB,hadoop,HadoopLogsAnalyzer.java
20,21,incorporate counter,JJ NN,hadoop,HadoopLogsAnalyzer.java
21,22,incorporate counters,JJ NNS,hadoop,HadoopLogsAnalyzer.java
22,41,get and record parsed host,VB IN VB JJ NN,hadoop,HadoopLogsAnalyzer.java
23,42,process map attempt line,VB NN VB NN,hadoop,HadoopLogsAnalyzer.java
24,43,process reduce attempt line,VB VB VB NN,hadoop,HadoopLogsAnalyzer.java
25,44,process parsed line,VB JJ NN,hadoop,HadoopLogsAnalyzer.java
26,45,print distribution set,VB NN NN,hadoop,HadoopLogsAnalyzer.java
27,46,print single distribution data,VB JJ NN NN,hadoop,HadoopLogsAnalyzer.java
28,47,maybe mate job and conf,RB NN NN IN NN,hadoop,HadoopLogsAnalyzer.java
29,48,map cdf array list,VB NNP NN NN,hadoop,HadoopLogsAnalyzer.java
30,49,finalize job,VB NN,hadoop,HadoopLogsAnalyzer.java
31,50,run,VB,hadoop,HadoopLogsAnalyzer.java
32,52,main,NN,hadoop,HadoopLogsAnalyzer.java
33,53,test conn configuratior,VB NN NN,hadoop,TestURLConnectionFactory.java
34,54,configure,VB,hadoop,TestURLConnectionFactory.java
35,56,put counters,VB NNS,hadoop,ParsedTaskAttempt.java
36,57,obtain counters,VB NNS,hadoop,ParsedTaskAttempt.java
37,58,put diagnostic info,VB JJ NN,hadoop,ParsedTaskAttempt.java
38,59,obtain diagnostic info,VB JJ NN,hadoop,ParsedTaskAttempt.java
39,60,put tracker name,VB NN NN,hadoop,ParsedTaskAttempt.java
40,61,obtain tracker name,VB NN NN,hadoop,ParsedTaskAttempt.java
41,62,put http port,VB NNP NN,hadoop,ParsedTaskAttempt.java
42,63,obtain http port,VB NNP NN,hadoop,ParsedTaskAttempt.java
43,64,put shuffle port,VB NN NN,hadoop,ParsedTaskAttempt.java
44,65,obtain shuffle port,VB NN NN,hadoop,ParsedTaskAttempt.java
45,66,dump parsed task attempt,VB JJ NN NN,hadoop,ParsedTaskAttempt.java
46,67,get proto,VB NN,hadoop,LocalResourcePBImpl.java
47,68,hash code,NN NN,hadoop,LocalResourcePBImpl.java
48,69,equals,VBZ,hadoop,LocalResourcePBImpl.java
49,70,to string,TO NN,hadoop,LocalResourcePBImpl.java
