ID,SEQUENCE,POS,PROJECT,FILE
0,description,NN,elasticsearch,SMBStorePlugin.java
1,on index module,IN NN NN,elasticsearch,SMBStorePlugin.java
2,read blob,VB NN,elasticsearch,BlobStoreFormat.java
3,blob name,NN NN,elasticsearch,BlobStoreFormat.java
4,get index to settings,VB NN TO NNS,elasticsearch,GetSettingsResponse.java
5,get setting,VB NN,elasticsearch,GetSettingsResponse.java
6,read from,VB IN,elasticsearch,GetSettingsResponse.java
7,write to,VB TO,elasticsearch,GetSettingsResponse.java
8,index settings,NN NNS,elasticsearch,AbstractIndexShardComponent.java
9,alias,NN,elasticsearch,AliasMetaData.java
10,get alias,VB NNS,elasticsearch,AliasMetaData.java
11,filtering required,NN JJ,elasticsearch,AliasMetaData.java
12,get search routing,VB NN NN,elasticsearch,AliasMetaData.java
13,search routing,VB NN,elasticsearch,AliasMetaData.java
14,get index routing,VB NN NN,elasticsearch,AliasMetaData.java
15,index routing,VB NN,elasticsearch,AliasMetaData.java
16,search routing values,VB NN NNS,elasticsearch,AliasMetaData.java
17,builder,NN,elasticsearch,AliasMetaData.java
18,new alias meta data builder,VB NN NN NNS NN,elasticsearch,AliasMetaData.java
19,new alias meta data,VB NN NN NNS,elasticsearch,AliasMetaData.java
20,routing,NN,elasticsearch,AliasMetaData.java
21,to x content,TO NN NN,elasticsearch,AliasMetaData.java
22,from x content,IN NN NN,elasticsearch,AliasMetaData.java
23,handle request,VB NN,elasticsearch,RestIndexPutAliasAction.java
24,set script lang,VB NN NN,elasticsearch,DeleteIndexedScriptRequestBuilder.java
25,set version type,VB NN NN,elasticsearch,DeleteIndexedScriptRequestBuilder.java
26,convert,VB,elasticsearch,TypeConverter.java
27,test null pointer,VB JJ NN,elasticsearch,WhenThingsGoWrongTests.java
28,test invalid shift,VB JJ NN,elasticsearch,WhenThingsGoWrongTests.java
29,test bogus parameter,VB JJ NN,elasticsearch,WhenThingsGoWrongTests.java
30,get index count,VB NN NN,elasticsearch,ClusterStatsIndices.java
31,get shards,VB NNS,elasticsearch,ClusterStatsIndices.java
32,get docs,VB NNS,elasticsearch,ClusterStatsIndices.java
33,get store,VB NN,elasticsearch,ClusterStatsIndices.java
34,get field data,VB NN NNS,elasticsearch,ClusterStatsIndices.java
35,get query cache,VB NN NN,elasticsearch,ClusterStatsIndices.java
36,get completion,VB NN,elasticsearch,ClusterStatsIndices.java
37,get segments,VB NNS,elasticsearch,ClusterStatsIndices.java
38,get percolate,VB NN,elasticsearch,ClusterStatsIndices.java
39,read indices stats,VB NNS NNS,elasticsearch,ClusterStatsIndices.java
40,get indices,VB NNS,elasticsearch,ClusterStatsIndices.java
41,get total,VB JJ,elasticsearch,ClusterStatsIndices.java
42,get primaries,VB NNS,elasticsearch,ClusterStatsIndices.java
43,get replication,VB NN,elasticsearch,ClusterStatsIndices.java
44,get max index shards,VB JJ NN NNS,elasticsearch,ClusterStatsIndices.java
45,get min index shards,VB JJ NN NNS,elasticsearch,ClusterStatsIndices.java
46,get avg index shards,VB JJ NN NNS,elasticsearch,ClusterStatsIndices.java
47,get max index primary shards,VB JJ NN JJ NNS,elasticsearch,ClusterStatsIndices.java
48,get min index primary shards,VB JJ NN JJ NNS,elasticsearch,ClusterStatsIndices.java
49,get avg index primary shards,VB JJ NN JJ NNS,elasticsearch,ClusterStatsIndices.java
50,get min index replication,VB JJ NN NN,elasticsearch,ClusterStatsIndices.java
51,get avg index replication,VB JJ NN NN,elasticsearch,ClusterStatsIndices.java
52,get max index replication,VB JJ NN NN,elasticsearch,ClusterStatsIndices.java
53,add index shard count,VB NN NN NN,elasticsearch,ClusterStatsIndices.java
54,read shard stats,VB NN NNS,elasticsearch,ClusterStatsIndices.java
55,add int min max,VB NN NN NN,elasticsearch,ClusterStatsIndices.java
56,add double min max,VB NN NN NN,elasticsearch,ClusterStatsIndices.java
57,shard handle lookup,NN VB NN,elasticsearch,InternalSearchHits.java
58,handle shard lookup,VB NN NN,elasticsearch,InternalSearchHits.java
59,stream shard target,NN NN NN,elasticsearch,InternalSearchHits.java
60,initial value,JJ NN,elasticsearch,InternalSearchHits.java
61,stream context,NN NN,elasticsearch,InternalSearchHits.java
62,shard target,NN NN,elasticsearch,InternalSearchHits.java
63,total hits,JJ NNS,elasticsearch,InternalSearchHits.java
64,get total hits,VB JJ NNS,elasticsearch,InternalSearchHits.java
65,max score,JJ NN,elasticsearch,InternalSearchHits.java
66,get max score,VB JJ NN,elasticsearch,InternalSearchHits.java
67,hits,NNS,elasticsearch,InternalSearchHits.java
68,get at,VB IN,elasticsearch,InternalSearchHits.java
69,get hits,VB NNS,elasticsearch,InternalSearchHits.java
70,internal hits,JJ NNS,elasticsearch,InternalSearchHits.java
71,read search hits,VB NN NNS,elasticsearch,InternalSearchHits.java
72,test parse test section with do section,VB VB NN NN IN VB NN,elasticsearch,TestSectionParserTests.java
73,test parse test section with do set and skip sections no skip,VB VB NN NN IN VB VB CC VB NNS RB VB,elasticsearch,TestSectionParserTests.java
74,test parse test section with multiple do sections,VB VB NN NN IN JJ VB NNS,elasticsearch,TestSectionParserTests.java
75,test parse test section with do sections and assertions,VB VB NN NN IN JJ NNS CC NNS,elasticsearch,TestSectionParserTests.java
76,test small section,VB JJ NN,elasticsearch,TestSectionParserTests.java
77,test if statement,VB IN NN,elasticsearch,BasicStatementTests.java
78,test while statement,VB IN NN,elasticsearch,BasicStatementTests.java
79,test do while statement,VB VB IN NN,elasticsearch,BasicStatementTests.java
80,test for statement,VB IN NN,elasticsearch,BasicStatementTests.java
81,test declaration statement,VB NN NN,elasticsearch,BasicStatementTests.java
82,test continue statement,VB NN NN,elasticsearch,BasicStatementTests.java
83,test break statement,VB NN NN,elasticsearch,BasicStatementTests.java
84,test return statement,VB NN NN,elasticsearch,BasicStatementTests.java
85,test prefer new indices,VB VB JJ NNS,elasticsearch,PriorityComparatorTests.java
86,get index settings,VB NN NNS,elasticsearch,PriorityComparatorTests.java
87,test prefer priority indices,VB NN NN NNS,elasticsearch,PriorityComparatorTests.java
88,test priority comparator sort,VB NN NN NN,elasticsearch,PriorityComparatorTests.java
89,all versions,DT NNS,elasticsearch,VersionUtils.java
90,get previous version,VB JJ NN,elasticsearch,VersionUtils.java
91,get first version,VB JJ NN,elasticsearch,VersionUtils.java
92,random version,JJ NN,elasticsearch,VersionUtils.java
93,random version between,JJ NN IN,elasticsearch,VersionUtils.java
94,requires layout,VBZ NN,elasticsearch,TerminalAppender.java
95,is failed,VBZ VBN,elasticsearch,MultiTermVectorsItemResponse.java
96,get response,VB NN,elasticsearch,MultiTermVectorsItemResponse.java
97,get failure,VB NN,elasticsearch,MultiTermVectorsItemResponse.java
98,read item response,VB NN NN,elasticsearch,MultiTermVectorsItemResponse.java
99,new response,VB NN,elasticsearch,SyncedFlushAction.java
100,new request builder,VB NN NN,elasticsearch,SyncedFlushAction.java
101,node settings,VB NNS,elasticsearch,RecoveryBackwardsCompatibilityIT.java
102,min external nodes,JJ JJ NNS,elasticsearch,RecoveryBackwardsCompatibilityIT.java
103,max external nodes,JJ JJ NNS,elasticsearch,RecoveryBackwardsCompatibilityIT.java
104,test reuse peer recovery,VB NN NN NN,elasticsearch,RecoveryBackwardsCompatibilityIT.java
105,get service details,VB NN NNS,elasticsearch,AzureComputeServiceImpl.java
106,do start,VB VB,elasticsearch,AzureComputeServiceImpl.java
107,do stop,VB VB,elasticsearch,AzureComputeServiceImpl.java
108,do close,VB VB,elasticsearch,AzureComputeServiceImpl.java
109,reset interval,VB NN,elasticsearch,IndicesTTLService.java
110,get shards to purge,VB NNS TO VB,elasticsearch,IndicesTTLService.java
111,get interval,VB NN,elasticsearch,IndicesTTLService.java
