,Unnamed: 0,ID,TYPE,DECLARATION,PROJECT,FILE
0,0,0,uint8_t,data,libobs,obs-avc.c
1,1,1,size_t,size,libobs,obs-avc.c
2,2,2,uint8_t,p,libobs,obs-avc.c
3,3,3,uint8_t,end,libobs,obs-avc.c
4,4,4,uint8_t,nal_start,libobs,obs-avc.c
5,5,5,bool,is_keyframe,libobs,obs-avc.c
6,6,6,int,priority,libobs,obs-avc.c
7,7,7,,s,libobs,obs-avc.c
12,12,12,,avc_packet,libobs,obs-avc.c
13,13,13,,src,libobs,obs-avc.c
14,14,14,,packet,libobs,obs-avc.c
18,18,18,uint8_t,sps,libobs,obs-avc.c
19,19,19,size_t,sps_size,libobs,obs-avc.c
20,20,20,uint8_t,pps,libobs,obs-avc.c
21,21,21,size_t,pps_size,libobs,obs-avc.c
22,22,22,uint8_t,header,libobs,obs-avc.c
27,27,27,uint8_t,new_packet_data,libobs,obs-avc.c
28,28,28,size_t,new_packet_size,libobs,obs-avc.c
29,29,29,uint8_t,header_data,libobs,obs-avc.c
30,30,30,size_t,header_size,libobs,obs-avc.c
31,31,31,uint8_t,sei_data,libobs,obs-avc.c
32,32,32,size_t,sei_size,libobs,obs-avc.c
33,33,33,,vi,libobs,obs.c
34,34,34,,ovi,libobs,obs.c
35,35,35,,video,libobs,obs.c
38,38,38,size_t,i,libobs,obs.c
40,40,40,gs_effect_t,effect,libobs,obs.c
41,41,41,char,file,libobs,obs.c
44,44,44,,info,libobs,obs.c
51,51,51,,ai,libobs,obs.c
52,52,52,void,view,libobs,obs.c
53,53,53,void,unused,libobs,obs.c
54,54,54,,locale,libobs,obs.c
55,55,55,void,module_config_path,libobs,obs.c
56,56,56,void,store,libobs,obs.c
58,58,58,,path,libobs,obs.c
63,63,63,void,argc,libobs,obs.c
64,64,64,void,argv,libobs,obs.c
66,66,66,char,width,libobs,obs.c
67,67,67,profiler_name_store_t,height,libobs,obs.c
69,69,69,char,oai,libobs,obs.c
72,72,72,char,sdr_white_level,libobs,obs.c
73,73,73,profiler_name_store_t,hdr_nominal_peak_level,libobs,obs.c
75,75,75,char,idx,libobs,obs.c
76,76,76,void,id,libobs,obs.c
81,81,81,char,unversioned_id,libobs,obs.c
93,93,93,,channel,libobs,obs.c
95,95,95,char,source,libobs,obs.c
96,96,96,size_t,param,libobs,obs.c
98,98,98,size_t,pstart,libobs,obs.c
99,99,99,char,mutex,libobs,obs.c
100,100,100,char,proc,libobs,obs.c
110,110,110,size_t,vfirst,libobs,obs.c
111,111,111,char,name,libobs,obs.c
113,113,113,void,ptable,libobs,obs.c
114,114,114,void,uuid,libobs,obs.c
116,116,116,uint32_t,ref,libobs,obs.c
129,129,129,void,src_c,libobs,obs.c
130,130,130,void,dest_c,libobs,obs.c
131,131,131,void,src_a,libobs,obs.c
132,132,132,void,dest_a,libobs,obs.c
133,133,133,void,volume,libobs,obs.c
134,134,134,char,source_data,libobs,obs.c
135,135,135,pthread_mutex_t,is_private,libobs,obs.c
138,138,138,pthread_mutex_t,array,libobs,obs.c
139,139,139,void,cb,libobs,obs.c
140,140,140,void,private_data,libobs,obs.c
147,147,147,char,private,libobs,obs.c
148,148,148,char,context,libobs,obs.c
149,149,149,char,type,libobs,obs.c
150,150,150,char,settings,libobs,obs.c
153,153,153,void,hotkey_data,libobs,obs.c
164,164,164,void,object,libobs,obs.c
165,165,165,obs_data_t,destroy,libobs,obs.c
168,168,168,obs_data_t,pfirst,libobs,obs.c
169,169,169,obs_data_array_t,phash,libobs,obs.c
176,176,176,obs_source_t,pfirst_uuid,libobs,obs.c
179,179,179,bool,phead,libobs,obs.c
181,181,181,,puuid_head,libobs,obs.c
188,188,188,,obj,libobs,obs.c
203,203,203,,v,libobs,obs.c
205,205,205,void,conversion,libobs,obs.c
206,206,206,,frame_rate_divisor,libobs,obs.c
216,216,216,char,mix_idx,libobs,obs.c
218,218,218,char,callback,libobs,obs.c
225,225,225,void,encoder,libobs,obs.c
231,231,231,char,task,libobs,obs.c
233,233,233,char,wait,libobs,obs.c
235,235,235,void,handler,libobs,obs.c
238,238,238,void,weak,libobs,obs.c
245,245,245,,protocol,libobs,obs.c
267,267,267,char,f,libobs,obs-source.c
272,272,272,uint32_t,ver,libobs,obs-source.c
289,289,289,obs_hotkey_t,key,libobs,obs-source.c
290,290,290,bool,pressed,libobs,obs-source.c
310,310,310,uint32_t,last_obs_ver,libobs,obs-source.c
325,325,325,obs_source_t,dst,libobs,obs-source.c
333,333,333,obs_source_t,filter,libobs,obs-source.c
337,337,337,char,new_name,libobs,obs-source.c
338,338,338,bool,create_private,libobs,obs-source.c
339,339,339,,frame,libobs,obs-source.c
340,340,340,,format,libobs,obs-source.c
365,365,365,char,new_path,libobs,obs-source.c
379,379,379,,event,libobs,obs-source.c
381,381,381,bool,mouse_up,libobs,obs-source.c
382,382,382,uint32_t,click_count,libobs,obs-source.c
385,385,385,bool,mouse_leave,libobs,obs-source.c
388,388,388,int,x_delta,libobs,obs-source.c
389,389,389,int,y_delta,libobs,obs-source.c
391,391,391,bool,focus,libobs,obs-source.c
394,394,394,bool,key_up,libobs,obs-source.c
397,397,397,bool,centered,libobs,obs-source.c
402,402,402,obs_source_t,parent,libobs,obs-source.c
403,403,403,obs_source_t,child,libobs,obs-source.c
419,419,419,,ref_frame,libobs,obs-source.c
423,423,423,float,seconds,libobs,obs-source.c
424,424,424,size_t,sample_rate,libobs,obs-source.c
425,425,425,size_t,frames,libobs,obs-source.c
427,427,427,uint64_t,duration,libobs,obs-source.c
429,429,429,uint64_t,timestamp,libobs,obs-source.c
430,430,430,uint64_t,os_time,libobs,obs-source.c
434,434,434,uint64_t,expected,libobs,obs-source.c
435,435,435,uint64_t,ts,libobs,obs-source.c
436,436,436,uint64_t,diff,libobs,obs-source.c
439,439,439,,in,libobs,obs-source.c
440,440,440,bool,muted,libobs,obs-source.c
441,441,441,uint64_t,ts1,libobs,obs-source.c
442,442,442,uint64_t,ts2,libobs,obs-source.c
443,443,443,audio_t,audio,libobs,obs-source.c
444,444,444,uint64_t,offset,libobs,obs-source.c
454,454,454,bool,full_range,libobs,obs-source.c
455,455,455,uint8_t,trc,libobs,obs-source.c
505,505,505,float,val,libobs,obs-source.c
511,511,511,gs_texrender_t,texrender,libobs,obs-source.c
514,514,514,gs_texture_t,tex,libobs,obs-source.c
527,527,527,long,rotation,libobs,obs-source.c
546,546,546,size_t,count,libobs,obs-source.c
547,547,547,,preferred_spaces,libobs,obs-source.c
562,562,562,size_t,cur_idx,libobs,obs-source.c
569,569,569,,movement,libobs,obs-source.c
577,577,577,size_t,index,libobs,obs-source.c
586,586,586,uint32_t,plane,libobs,obs-source.c
587,587,587,uint32_t,y,libobs,obs-source.c
591,591,591,uint32_t,lines,libobs,obs-source.c
611,611,611,,captions,libobs,obs-source.c
644,644,644,float,balance,libobs,obs-source.c
649,649,649,,audio_in,libobs,obs-source.c
653,653,653,uint64_t,sys_time,libobs,obs-source.c
666,666,666,obs_source_t,target,libobs,obs-source.c
668,668,668,char,tech_name,libobs,obs-source.c
676,676,676,uint32_t,filter_flags,libobs,obs-source.c
677,677,677,uint32_t,parent_flags,libobs,obs-source.c
678,678,678,,allow_direct,libobs,obs-source.c
679,679,679,,space,libobs,obs-source.c
709,709,709,obs_source_enum_proc_t,enum_callback,libobs,obs-source.c
734,734,734,uint32_t,flags,libobs,obs-source.c
739,739,739,uint32_t,mixers,libobs,obs-source.c
741,741,741,,color_matrix,libobs,obs-source.c
742,742,742,,color_range_min,libobs,obs-source.c
743,743,743,,color_range_max,libobs,obs-source.c
744,744,744,gs_texture_t,texture,libobs,obs-source.c
745,745,745,int,x,libobs,obs-source.c
747,747,747,uint32_t,cx,libobs,obs-source.c
748,748,748,uint32_t,cy,libobs,obs-source.c
749,749,749,bool,flip,libobs,obs-source.c
758,758,758,bool,hidden,libobs,obs-source.c
765,765,765,bool,enabled,libobs,obs-source.c
770,770,770,char,signal,libobs,obs-source.c
774,774,774,uint64_t,delay,libobs,obs-source.c
791,791,791,size_t,mix,libobs,obs-source.c
792,792,792,size_t,channels,libobs,obs-source.c
793,793,793,float,vol,libobs,obs-source.c
797,797,797,float,vol_data,libobs,obs-source.c
799,799,799,,action,libobs,obs-source.c
844,844,844,bool,unbuffered,libobs,obs-source.c
848,848,848,bool,decouple,libobs,obs-source.c
851,851,851,bool,enable,libobs,obs-source.c
857,857,857,bool,active,libobs,obs-source.c
862,862,862,bool,pause,libobs,obs-source.c
870,870,870,int64_t,ms,libobs,obs-source.c
887,887,887,,hevc_packet,libobs,obs-hevc.c
899,899,899,HMODULE,module,libobs,obs-win-crash-handler.c
900,900,900,char,func,libobs,obs-win-crash-handler.c
902,902,902,,trace,libobs,obs-win-crash-handler.c
906,906,906,PCTSTR,module_name,libobs,obs-win-crash-handler.c
907,907,907,DWORD64,module_base,libobs,obs-win-crash-handler.c
908,908,908,ULONG,module_size,libobs,obs-win-crash-handler.c
919,919,919,HANDLE,thread,libobs,obs-win-crash-handler.c
923,923,923,THREADENTRY32,entry,libobs,obs-win-crash-handler.c
924,924,924,bool,first_thread,libobs,obs-win-crash-handler.c
928,928,928,PEXCEPTION_POINTERS,exception,libobs,obs-win-crash-handler.c
940,940,940,size_t,mixer_idx,libobs,obs-encoder.c
959,959,959,bool,shutdown,libobs,obs-encoder.c
974,974,974,uint8_t,extra_data,libobs,obs-encoder.c
981,981,981,char,reroute_id,libobs,obs-encoder.c
1000,1000,1000,char,input,mpv-master,chmap.c
1001,1001,1001,char,expected_selection,mpv-master,chmap.c
1002,1002,1002,char,layouts,mpv-master,chmap.c
1003,1003,1003,AVChannelLayout,av_layout,mpv-master,chmap.c
1004,1004,1004,,mp_layout,mpv-master,chmap.c
1005,1005,1005,bool,require_default_unspec,mpv-master,chmap.c
1006,1006,1006,void,pctx,mpv-master,scale_sws.c
1010,1010,1010,int,imgfmt_dst,mpv-master,scale_sws.c
1011,1011,1011,int,imgfmt_src,mpv-master,scale_sws.c
1013,1013,1013,int,status,mpv-master,libmpv_test.c
1014,1014,1014,char,property,mpv-master,libmpv_test.c
1015,1015,1015,double,expect,mpv-master,libmpv_test.c
1032,1032,1032,void,a,mpv-master,img_utils.c
1033,1033,1033,void,b,mpv-master,img_utils.c
1034,1034,1034,int,w,mpv-master,scale_test.c
1035,1035,1035,int,h,mpv-master,scale_test.c
1036,1036,1036,int,bytes,mpv-master,scale_test.c
1037,1037,1037,bool,rgb,mpv-master,scale_test.c
1038,1038,1038,bool,alpha,mpv-master,scale_test.c
1039,1039,1039,,stest,mpv-master,scale_test.c
1041,1041,1041,,img,mpv-master,scale_test.c
1045,1045,1045,,new,mpv-master,scale_test.c
1050,1050,1050,int,line,mpv-master,paths.c
1053,1053,1053,char,c,mpv-master,paths.c
1056,1056,1056,bool,abs,mpv-master,paths.c
1070,1070,1070,double,tolerance,mpv-master,test_utils.c
1071,1071,1071,char,outdir,mpv-master,test_utils.c
1075,1075,1075,char,refdir,mpv-master,test_utils.c
1079,1079,1079,char,err,mpv-master,test_utils.c
1080,1080,1080,uint8_t,d,mpv-master,test_utils.c
1087,1087,1087,,log,mpv-master,test_utils.c
1088,1088,1088,int,lev,mpv-master,test_utils.c
1094,1094,1094,void,wstream,mpv-master,test_utils.c
1096,1096,1096,va_list,args,mpv-master,test_utils.c
1098,1098,1098,bstr,str,mpv-master,test_utils.c
1099,1099,1099,void,handle,mpv-master,test_utils.c
1100,1100,1100,AVDictionary,dict,mpv-master,test_utils.c
1101,1101,1101,char,kv,mpv-master,test_utils.c
1102,1102,1102,void,talloc_ctx,mpv-master,test_utils.c
1105,1105,1105,,item,mpv-master,linked_list.c
1106,1106,1106,,lst,mpv-master,linked_list.c
1108,1108,1108,int,num_c,mpv-master,linked_list.c
1109,1109,1109,int,imgfmt,mpv-master,repack.c
1113,1113,1113,int,not_if_fmt,mpv-master,repack.c
1115,1115,1115,,csp,mpv-master,repack.c
1116,1116,1116,,levels,mpv-master,repack.c
1122,1122,1122,,env,mpv-master,jni.c
1123,1123,1123,JNIEnv,string,mpv-master,jni.c
1126,1126,1126,JNIEnv,utf_chars,mpv-master,jni.c
1130,1130,1130,jthrowable,error,mpv-master,jni.c
1133,1133,1133,JNIEnv,logging,mpv-master,jni.c
1136,1136,1136,JNIEnv,jfields,mpv-master,jni.c
1137,1137,1137,void,jfields_mapping,mpv-master,jni.c
1138,1138,1138,,global,mpv-master,jni.c
1149,1149,1149,bstr,root,mpv-master,path_utils.c
1152,1152,1152,,p1,mpv-master,path_utils.c
1153,1153,1153,,p2,mpv-master,path_utils.c
1164,1164,1164,bstr,out_url,mpv-master,path_utils.c
1165,1165,1165,char,dir,mpv-master,path_utils.c
1167,1167,1167,void,ta_parent,mpv-master,dispatch.c
1168,1168,1168,,queue,mpv-master,dispatch.c
1169,1169,1169,void,wakeup_ctx,mpv-master,dispatch.c
1171,1171,1171,void,onlock_ctx,mpv-master,dispatch.c
1175,1175,1175,mp_dispatch_fn,fn,mpv-master,dispatch.c
1176,1176,1176,void,fn_data,mpv-master,dispatch.c
1190,1190,1190,double,timeout,mpv-master,dispatch.c
1193,1193,1193,int64_t,until,mpv-master,dispatch.c
1196,1196,1196,void,arg,mpv-master,thread_pool.c
1197,1197,1197,void,ctx,mpv-master,thread_pool.c
1198,1198,1198,,pool,mpv-master,thread_pool.c
1200,1200,1200,int,init_threads,mpv-master,thread_pool.c
1201,1201,1201,int,min_threads,mpv-master,thread_pool.c
1202,1202,1202,int,max_threads,mpv-master,thread_pool.c
1204,1204,1204,void,fn_ctx,mpv-master,thread_pool.c
1205,1205,1205,bool,allow_queue,mpv-master,thread_pool.c
1223,1223,1223,int,max_depth,mpv-master,json.c
1231,1231,1231,bstr,indent,mpv-master,json.c
1242,1242,1242,char,user_cp,mpv-master,charset_conv.c
1244,1244,1244,bstr,buf,mpv-master,charset_conv.c
1255,1255,1255,char,cp,mpv-master,charset_conv.c
1257,1257,1257,char,template,mpv-master,io_utils.c
1258,1258,1258,int,suffixlen,mpv-master,io_utils.c
1260,1260,1260,char,filepath,mpv-master,io_utils.c
1263,1263,1263,,str1,mpv-master,bstr.c
1264,1264,1264,,str2,mpv-master,bstr.c
1272,1272,1272,char,reject,mpv-master,bstr.c
1274,1274,1274,char,accept,mpv-master,bstr.c
1275,1275,1275,,haystack,mpv-master,bstr.c
1276,1276,1276,,needle,mpv-master,bstr.c
1280,1280,1280,char,sep,mpv-master,bstr.c
1281,1281,1281,,rest,mpv-master,bstr.c
1283,1283,1283,char,tok,mpv-master,bstr.c
1284,1284,1284,bstr,out_left,mpv-master,bstr.c
1285,1285,1285,bstr,out_right,mpv-master,bstr.c
1287,1287,1287,int,start,mpv-master,bstr.c
1291,1291,1291,int,base,mpv-master,bstr.c
1299,1299,1299,,prefix,mpv-master,bstr.c
1307,1307,1307,,out_next,mpv-master,bstr.c
1315,1315,1315,bstr,append_min,mpv-master,bstr.c
1318,1318,1318,bstr,append,mpv-master,bstr.c
1321,1321,1321,bstr,fmt,mpv-master,bstr.c
1325,1325,1325,char,ap,mpv-master,bstr.c
1329,1329,1329,,suffix,mpv-master,bstr.c
1334,1334,1334,char,hex,mpv-master,bstr.c
1335,1335,1335,void,out,mpv-master,bstr.c
1338,1338,1338,void,ret,mpv-master,bstr.c
1372,1372,1372,void,k,mpv-master,language.c
1373,1373,1373,char,lang,mpv-master,language.c
1375,1375,1375,char,l1,mpv-master,language.c
1376,1376,1376,size_t,s1,mpv-master,language.c
1377,1377,1377,char,l2,mpv-master,language.c
1378,1378,1378,size_t,s2,mpv-master,language.c
1381,1381,1381,,waiter,mpv-master,thread_tools.c
1383,1383,1383,uintptr_t,value,mpv-master,thread_tools.c
1396,1396,1396,,slave,mpv-master,thread_tools.c
1401,1401,1401,AVUUID,uu,mpv-master,uuid.c
1403,1403,1403,char,in_start,mpv-master,uuid.c
