,Unnamed: 0,ID,TYPE,DECLARATION,PROJECT,FILE
0,0,0,class,SequenceNotStr,pandas-main,_typing.py
1,1,1,class,BaseBuffer,pandas-main,_typing.py
2,2,2,class,ReadBuffer,pandas-main,_typing.py
3,3,3,class,WriteBuffer,pandas-main,_typing.py
4,4,4,class,ReadPickleBuffer,pandas-main,_typing.py
5,5,5,class,WriteExcelBuffer,pandas-main,_typing.py
6,6,6,class,ReadCsvBuffer,pandas-main,_typing.py
7,7,7,class,TestSubDict,pandas-main,conftest.py
8,8,8,class,TestNonDictMapping,pandas-main,conftest.py
9,9,9,class,VersioneerConfig,pandas-main,_version.py
10,10,10,class,NotThisMethod,pandas-main,_version.py
11,11,11,class,IntCastingNaNError,pandas-main,__init__.py
12,12,12,class,NullFrequencyError,pandas-main,__init__.py
13,13,13,class,PerformanceWarning,pandas-main,__init__.py
14,14,14,class,UnsupportedFunctionCall,pandas-main,__init__.py
15,15,15,class,UnsortedIndexError,pandas-main,__init__.py
16,16,16,class,ParserError,pandas-main,__init__.py
17,17,17,class,DtypeWarning,pandas-main,__init__.py
18,18,18,class,EmptyDataError,pandas-main,__init__.py
19,19,19,class,ParserWarning,pandas-main,__init__.py
20,20,20,class,MergeError,pandas-main,__init__.py
21,21,21,class,AbstractMethodError,pandas-main,__init__.py
22,22,22,class,NumbaUtilError,pandas-main,__init__.py
23,23,23,class,DuplicateLabelError,pandas-main,__init__.py
24,24,24,class,InvalidIndexError,pandas-main,__init__.py
25,25,25,class,DataError,pandas-main,__init__.py
26,26,26,class,SpecificationError,pandas-main,__init__.py
27,27,27,class,ChainedAssignmentError,pandas-main,__init__.py
28,28,28,class,NumExprClobberingError,pandas-main,__init__.py
29,29,29,class,UndefinedVariableError,pandas-main,__init__.py
30,30,30,class,IndexingError,pandas-main,__init__.py
31,31,31,class,PyperclipException,pandas-main,__init__.py
32,32,32,class,PyperclipWindowsException,pandas-main,__init__.py
33,33,33,class,CSSWarning,pandas-main,__init__.py
34,34,34,class,PossibleDataLossError,pandas-main,__init__.py
35,35,35,class,ClosedFileError,pandas-main,__init__.py
36,36,36,class,IncompatibilityWarning,pandas-main,__init__.py
37,37,37,class,AttributeConflictWarning,pandas-main,__init__.py
38,38,38,class,DatabaseError,pandas-main,__init__.py
39,39,39,class,PossiblePrecisionLoss,pandas-main,__init__.py
40,40,40,class,ValueLabelTypeMismatch,pandas-main,__init__.py
41,41,41,class,InvalidColumnName,pandas-main,__init__.py
42,42,42,class,CategoricalConversionWarning,pandas-main,__init__.py
43,43,43,class,LossySetitemError,pandas-main,__init__.py
44,44,44,class,NoBufferPresent,pandas-main,__init__.py
45,45,45,class,InvalidComparison,pandas-main,__init__.py
46,46,46,class,SubclassedSeries,pandas-main,__init__.py
47,47,47,class,SubclassedDataFrame,pandas-main,__init__.py
48,48,48,class,PlotAccessor,pandas-main,_core.py
49,49,49,class,_Options,pandas-main,_misc.py
50,50,50,class,HistPlot,pandas-main,hist.py
51,51,51,class,KdePlot,pandas-main,hist.py
52,52,52,class,MPLPlot,pandas-main,core.py
53,53,53,class,PlanePlot,pandas-main,core.py
54,54,54,class,ScatterPlot,pandas-main,core.py
55,55,55,class,HexBinPlot,pandas-main,core.py
56,56,56,class,LinePlot,pandas-main,core.py
57,57,57,class,AreaPlot,pandas-main,core.py
58,58,58,class,BarPlot,pandas-main,core.py
59,59,59,class,BarhPlot,pandas-main,core.py
60,60,60,class,PiePlot,pandas-main,core.py
61,61,61,class,BoxPlot,pandas-main,boxplot.py
62,62,62,class,BP,pandas-main,boxplot.py
63,63,63,class,TimeConverter,pandas-main,converter.py
64,64,64,class,TimeFormatter,pandas-main,converter.py
65,65,65,class,PeriodConverter,pandas-main,converter.py
66,66,66,class,DatetimeConverter,pandas-main,converter.py
67,67,67,class,PandasAutoDateFormatter,pandas-main,converter.py
68,68,68,class,PandasAutoDateLocator,pandas-main,converter.py
69,69,69,class,MilliSecondLocator,pandas-main,converter.py
70,70,70,class,TimeSeries_DateLocator,pandas-main,converter.py
71,71,71,class,TimeSeries_DateFormatter,pandas-main,converter.py
72,72,72,class,TimeSeries_TimedeltaFormatter,pandas-main,converter.py
73,73,73,class,DataFrame,pandas-main,frame.py
74,74,74,class,_IndexSlice,pandas-main,indexing.py
75,75,75,class,IndexingMixin,pandas-main,indexing.py
76,76,76,class,_LocationIndexer,pandas-main,indexing.py
77,77,77,class,_LocIndexer,pandas-main,indexing.py
78,78,78,class,_iLocIndexer,pandas-main,indexing.py
79,79,79,class,_ScalarAccessIndexer,pandas-main,indexing.py
80,80,80,class,_AtIndexer,pandas-main,indexing.py
81,81,81,class,_iAtIndexer,pandas-main,indexing.py
82,82,82,class,Flags,pandas-main,flags.py
83,83,83,class,disallow,pandas-main,nanops.py
84,84,84,class,bottleneck_switch,pandas-main,nanops.py
85,85,85,class,NDFrame,pandas-main,generic.py
86,86,86,class,PandasObject,pandas-main,base.py
87,87,87,class,NoNewAttributesMixin,pandas-main,base.py
88,88,88,class,SelectionMixin,pandas-main,base.py
89,89,89,class,IndexOpsMixin,pandas-main,base.py
90,90,90,class,DirNamesMixin,pandas-main,accessor.py
91,91,91,class,PandasDelegate,pandas-main,accessor.py
92,92,92,class,CachedAccessor,pandas-main,accessor.py
93,93,93,class,OpsMixin,pandas-main,arraylike.py
94,94,94,class,Series,pandas-main,series.py
95,95,95,class,Resampler,pandas-main,resample.py
