,ID,TYPE,DECLARATION,PROJECT,FILE
0,0,Histogram[][],"newDistributionBlock()
",hadoop,HadoopLogsAnalyzer.java
2,2,Histogram,"getDistribution(Histogram[][] block, JobOutcome outcome, LoggedJob.JobType type)
",hadoop,HadoopLogsAnalyzer.java
3,3,void,"usage()
",hadoop,HadoopLogsAnalyzer.java
4,4,boolean,"pathIsDirectory(Path p) throws IOException
",hadoop,HadoopLogsAnalyzer.java
5,5,int,"initializeHadoopLogsAnalyzer(String[] args) throws FileNotFoundException, IOException
",hadoop,HadoopLogsAnalyzer.java
6,6,LineReader,"maybeUncompressedPath(Path p) throws FileNotFoundException, IOException
",hadoop,HadoopLogsAnalyzer.java
7,7,boolean,"setNextDirectoryInputStream() throws FileNotFoundException, IOException
",hadoop,HadoopLogsAnalyzer.java
8,8,String,"readInputLine() throws IOException
",hadoop,HadoopLogsAnalyzer.java
9,9,String,"readCountedLine() throws IOException
",hadoop,HadoopLogsAnalyzer.java
10,10,void,"unreadCountedLine(String unreadee)
",hadoop,HadoopLogsAnalyzer.java
11,11,boolean,"apparentConfFileHeader(String header)
",hadoop,HadoopLogsAnalyzer.java
12,12,boolean,"apparentXMLFileStart(String line)
",hadoop,HadoopLogsAnalyzer.java
13,13,String>,"readBalancedLine() throws IOException
",hadoop,HadoopLogsAnalyzer.java
14,14,void,"incorporateSpread(Histogram taskTimes, Histogram[][] spreadTo, JobOutcome outcome, LoggedJob.JobType jtype)
",hadoop,HadoopLogsAnalyzer.java
15,15,void,"canonicalDistributionsEnter(Histogram[][] block, JobOutcome outcome, LoggedJob.JobType type, long value)
",hadoop,HadoopLogsAnalyzer.java
16,16,void,"processJobLine(ParsedLine line) throws JsonProcessingException, IOException
",hadoop,HadoopLogsAnalyzer.java
17,17,void,"processTaskLine(ParsedLine line)
",hadoop,HadoopLogsAnalyzer.java
18,18,Pattern,"counterPattern(String counterName)
",hadoop,HadoopLogsAnalyzer.java
19,19,String,"parseCounter(String counterString, String counterName)
",hadoop,HadoopLogsAnalyzer.java
20,20,void,"set(long value)
",hadoop,HadoopLogsAnalyzer.java
21,21,void,"incorporateCounter(SetField thunk, String counterString, String counterName)
",hadoop,HadoopLogsAnalyzer.java
22,22,void,"incorporateCounters(LoggedTaskAttempt attempt2, String counterString)
",hadoop,HadoopLogsAnalyzer.java
41,41,ParsedHost,"getAndRecordParsedHost(String hostName)
",hadoop,HadoopLogsAnalyzer.java
42,42,void,"processMapAttemptLine(ParsedLine line)
",hadoop,HadoopLogsAnalyzer.java
43,43,void,"processReduceAttemptLine(ParsedLine line)
",hadoop,HadoopLogsAnalyzer.java
44,44,void,"processParsedLine(ParsedLine line) throws JsonProcessingException, IOException
",hadoop,HadoopLogsAnalyzer.java
45,45,void,"printDistributionSet(String title, Histogram[][] distSet)
",hadoop,HadoopLogsAnalyzer.java
46,46,void,"printSingleDistributionData(Histogram dist)
",hadoop,HadoopLogsAnalyzer.java
47,47,void,"maybeMateJobAndConf() throws IOException
",hadoop,HadoopLogsAnalyzer.java
48,48,ArrayList<LoggedDiscreteCDF>,"mapCDFArrayList(Histogram[] data)
",hadoop,HadoopLogsAnalyzer.java
49,49,void,"finalizeJob() throws IOException
",hadoop,HadoopLogsAnalyzer.java
50,50,int,"run(String[] args) throws IOException
",hadoop,HadoopLogsAnalyzer.java
52,52,void,"main(String[] args)
",hadoop,HadoopLogsAnalyzer.java
53,53,void,"testConnConfiguratior() throws IOException
",hadoop,TestURLConnectionFactory.java
54,54,HttpURLConnection,"configure(HttpURLConnection conn) throws IOException
",hadoop,TestURLConnectionFactory.java
56,56,void,"putCounters(Map<String, Long> counters)
",hadoop,ParsedTaskAttempt.java
57,57,Long>,"obtainCounters()
",hadoop,ParsedTaskAttempt.java
58,58,void,"putDiagnosticInfo(String msg)
",hadoop,ParsedTaskAttempt.java
59,59,String,"obtainDiagnosticInfo()
",hadoop,ParsedTaskAttempt.java
60,60,void,"putTrackerName(String trackerName)
",hadoop,ParsedTaskAttempt.java
61,61,String,"obtainTrackerName()
",hadoop,ParsedTaskAttempt.java
62,62,void,"putHttpPort(int port)
",hadoop,ParsedTaskAttempt.java
63,63,Integer,"obtainHttpPort()
",hadoop,ParsedTaskAttempt.java
64,64,void,"putShufflePort(int port)
",hadoop,ParsedTaskAttempt.java
65,65,Integer,"obtainShufflePort()
",hadoop,ParsedTaskAttempt.java
66,66,void,"dumpParsedTaskAttempt()
",hadoop,ParsedTaskAttempt.java
67,67,LocalResourceProto,"getProto()
",hadoop,LocalResourcePBImpl.java
68,68,int,"hashCode()
",hadoop,LocalResourcePBImpl.java
69,69,boolean,"equals(Object other)
",hadoop,LocalResourcePBImpl.java
70,70,String,"toString()
",hadoop,LocalResourcePBImpl.java
71,71,void,"mergeLocalToBuilder()
",hadoop,LocalResourcePBImpl.java
72,72,void,"maybeInitBuilder()
",hadoop,LocalResourcePBImpl.java
73,73,long,"getSize()
",hadoop,LocalResourcePBImpl.java
74,74,void,"setSize(long size)
",hadoop,LocalResourcePBImpl.java
75,75,long,"getTimestamp()
",hadoop,LocalResourcePBImpl.java
76,76,void,"setTimestamp(long timestamp)
",hadoop,LocalResourcePBImpl.java
77,77,LocalResourceType,"getType()
",hadoop,LocalResourcePBImpl.java
78,78,void,"setType(LocalResourceType type)
",hadoop,LocalResourcePBImpl.java
79,79,URL,"getResource()
",hadoop,LocalResourcePBImpl.java
80,80,void,"setResource(URL resource)
",hadoop,LocalResourcePBImpl.java
81,81,LocalResourceVisibility,"getVisibility()
",hadoop,LocalResourcePBImpl.java
82,82,void,"setVisibility(LocalResourceVisibility visibility)
",hadoop,LocalResourcePBImpl.java
83,83,String,"getPattern()
",hadoop,LocalResourcePBImpl.java
84,84,void,"setPattern(String pattern)
",hadoop,LocalResourcePBImpl.java
85,85,LocalResourceTypeProto,"convertToProtoFormat(LocalResourceType e)
",hadoop,LocalResourcePBImpl.java
86,86,LocalResourceType,"convertFromProtoFormat(LocalResourceTypeProto e)
",hadoop,LocalResourcePBImpl.java
91,91,String,"getDiagnosticMessage()
",hadoop,ResourceFailedLocalizationEvent.java
92,92,String,"joinPaths(String path1, String path2)
",hadoop,SwiftUtils.java
93,93,boolean,"isDirectory(FileStatus fileStatus)
",hadoop,SwiftUtils.java
94,94,boolean,"isFilePretendingToBeDirectory(FileStatus fileStatus)
",hadoop,SwiftUtils.java
95,95,boolean,"isRootDir(SwiftObjectPath swiftObject)
",hadoop,SwiftUtils.java
96,96,void,"debug(Log log, String text, Object... args)
",hadoop,SwiftUtils.java
97,97,void,"debugEx(Log log, String text, Exception ex)
",hadoop,SwiftUtils.java
98,98,void,"trace(Log log, String text, Object... args)
",hadoop,SwiftUtils.java
99,99,String,"partitionFilenameFromNumber(int partNumber)
",hadoop,SwiftUtils.java
100,100,String,"ls(FileSystem fileSystem, Path path) throws IOException
",hadoop,SwiftUtils.java
101,101,String,"fileStatsToString(FileStatus[] stats, String separator)
",hadoop,SwiftUtils.java
102,102,void,"validateReadArgs(byte[] buffer, int off, int len)
",hadoop,SwiftUtils.java
103,103,void,"testMkDirRmDir() throws Throwable
",hadoop,AbstractContractMkdirTest.java
104,104,void,"testMkDirRmRfDir() throws Throwable
",hadoop,AbstractContractMkdirTest.java
105,105,void,"testNoMkdirOverFile() throws Throwable
",hadoop,AbstractContractMkdirTest.java
106,106,void,"testMkdirOverParentFile() throws Throwable
",hadoop,AbstractContractMkdirTest.java
107,107,byte[],"targetToData(HAServiceTarget target)
",hadoop,ZKFailoverController.java
108,108,HAServiceTarget,"dataToTarget(byte[] data)
",hadoop,ZKFailoverController.java
109,109,void,"loginAsFCUser() throws IOException
",hadoop,ZKFailoverController.java
110,110,void,"checkRpcAdminAccess() throws AccessControlException, IOException
",hadoop,ZKFailoverController.java
111,111,InetSocketAddress,"getRpcAddressToBindTo()
",hadoop,ZKFailoverController.java
112,112,PolicyProvider,"getPolicyProvider()
",hadoop,ZKFailoverController.java
113,113,String,"getScopeInsideParentNode()
",hadoop,ZKFailoverController.java
114,114,HAServiceTarget,"getLocalTarget()
",hadoop,ZKFailoverController.java
117,117,int,"doRun(String[] args) throws HadoopIllegalArgumentException, IOException, InterruptedException
",hadoop,ZKFailoverController.java
118,118,void,"badArg(String arg)
",hadoop,ZKFailoverController.java
119,119,void,"printUsage()
",hadoop,ZKFailoverController.java
120,120,int,"formatZK(boolean force, boolean interactive) throws IOException, InterruptedException
",hadoop,ZKFailoverController.java
121,121,boolean,"confirmFormat()
",hadoop,ZKFailoverController.java
122,122,void,"initHM()
",hadoop,ZKFailoverController.java
123,123,void,"initRPC() throws IOException
",hadoop,ZKFailoverController.java
124,124,void,"startRPC() throws IOException
",hadoop,ZKFailoverController.java
125,125,void,"initZK() throws HadoopIllegalArgumentException, IOException, KeeperException
",hadoop,ZKFailoverController.java
126,126,String,"getParentZnode()
",hadoop,ZKFailoverController.java
127,127,void,"mainLoop() throws InterruptedException
",hadoop,ZKFailoverController.java
128,128,void,"fatalError(String err)
",hadoop,ZKFailoverController.java
129,129,void,"becomeActive() throws ServiceFailedException
",hadoop,ZKFailoverController.java
130,130,void,"recordActiveAttempt(ActiveAttemptRecord record)
",hadoop,ZKFailoverController.java
131,131,ActiveAttemptRecord,"waitForActiveAttempt(int timeoutMillis) throws InterruptedException
",hadoop,ZKFailoverController.java
132,132,StateChangeRequestInfo,"createReqInfo()
",hadoop,ZKFailoverController.java
133,133,void,"becomeStandby()
",hadoop,ZKFailoverController.java
134,134,void,"fenceOldActive(byte[] data)
",hadoop,ZKFailoverController.java
135,135,void,"doFence(HAServiceTarget target)
",hadoop,ZKFailoverController.java
136,136,void,"cedeActive(final int millisToCede) throws AccessControlException, ServiceFailedException, IOException
",hadoop,ZKFailoverController.java
138,138,void,"doCedeActive(int millisToCede) throws AccessControlException, ServiceFailedException, IOException
",hadoop,ZKFailoverController.java
139,139,void,"gracefulFailoverToYou() throws ServiceFailedException, IOException
",hadoop,ZKFailoverController.java
141,141,void,"doGracefulFailover() throws ServiceFailedException, IOException, InterruptedException
",hadoop,ZKFailoverController.java
142,142,void,"checkEligibleForFailover() throws ServiceFailedException
",hadoop,ZKFailoverController.java
143,143,HAServiceTarget,"getCurrentActive() throws IOException, InterruptedException
",hadoop,ZKFailoverController.java
144,144,void,"recheckElectability()
",hadoop,ZKFailoverController.java
145,145,void,"scheduleRecheck(long whenNanos)
",hadoop,ZKFailoverController.java
147,147,void,"verifyChangedServiceState(HAServiceState changedState)
",hadoop,ZKFailoverController.java
148,148,State,"getLastHealthState()
",hadoop,ZKFailoverController.java
149,149,void,"setLastHealthState(HealthMonitor.State newState)
",hadoop,ZKFailoverController.java
150,150,ActiveStandbyElector,"getElectorForTests()
",hadoop,ZKFailoverController.java
151,151,ZKFCRpcServer,"getRpcServerForTests()
",hadoop,ZKFailoverController.java
154,154,void,"enterNeutralMode()
",hadoop,ZKFailoverController.java
155,155,void,"notifyFatalError(String errorMessage)
",hadoop,ZKFailoverController.java
158,158,void,"enteredState(HealthMonitor.State newState)
",hadoop,ZKFailoverController.java
159,159,void,"reportServiceStatus(HAServiceStatus status)
",hadoop,ZKFailoverController.java
160,160,void,"setConf(Configuration conf)
",hadoop,StaticMapping.java
162,162,void,"addNodeToRack(String name, String rackId)
",hadoop,StaticMapping.java
163,163,List<String>,"resolve(List<String> names)
",hadoop,StaticMapping.java
164,164,boolean,"isSingleSwitch()
",hadoop,StaticMapping.java
165,165,String>,"getSwitchMap()
",hadoop,StaticMapping.java
167,167,void,"resetMap()
",hadoop,StaticMapping.java
168,168,void,"reloadCachedMappings()
",hadoop,StaticMapping.java
170,170,org.apache.hadoop.mapred.JobID,"fromYarn(JobId id)
",hadoop,TypeConverter.java
172,172,JobId,"toYarn(org.apache.hadoop.mapreduce.JobID id)
",hadoop,TypeConverter.java
173,173,String,"fromClusterTimeStamp(long clusterTimeStamp)
",hadoop,TypeConverter.java
174,174,long,"toClusterTimeStamp(String identifier)
",hadoop,TypeConverter.java
198,198,TaskTrackerInfo[],"fromYarnNodes(List<NodeReport> nodes)
",hadoop,TypeConverter.java
200,200,JobStatus[],"fromYarnApps(List<ApplicationReport> applications, Configuration conf)
",hadoop,TypeConverter.java
202,202,QueueInfo[],"fromYarnQueueInfo(List<org.apache.hadoop.yarn.api.records.QueueInfo> queues, Configuration conf)
",hadoop,TypeConverter.java
203,203,QueueAclsInfo[],"fromYarnQueueUserAclsInfo(List<QueueUserACLInfo> userAcls)
",hadoop,TypeConverter.java
204,204,RetryPolicy,"getDefaultRetryPolicy(Configuration conf, String retryPolicyEnabledKey, boolean defaultRetryPolicyEnabled, String retryPolicySpecKey, String defaultRetryPolicySpec, final Class<? extends Exception> remoteExceptionToRetry)
",hadoop,RetryUtils.java
205,205,RetryAction,"shouldRetry(Exception e, int retries, int failovers, boolean isMethodIdempotent) throws Exception
",hadoop,RetryUtils.java
207,207,RetryPolicy,"getMultipleLinearRandomRetry(Configuration conf, String retryPolicyEnabledKey, boolean defaultRetryPolicyEnabled, String retryPolicySpecKey, String defaultRetryPolicySpec)
",hadoop,RetryUtils.java
208,208,void,"setUp() throws Exception
",hadoop,TestSwiftFileSystemLsOperations.java
209,209,void,"createTestSubdirs() throws IOException
",hadoop,TestSwiftFileSystemLsOperations.java
210,210,void,"testListLevelTest() throws Exception
",hadoop,TestSwiftFileSystemLsOperations.java
211,211,void,"testListLevelTestHadoop() throws Exception
",hadoop,TestSwiftFileSystemLsOperations.java
212,212,void,"testListStatusEmptyDirectory() throws Exception
",hadoop,TestSwiftFileSystemLsOperations.java
213,213,void,"testListStatusFile() throws Exception
",hadoop,TestSwiftFileSystemLsOperations.java
214,214,void,"testListEmptyRoot() throws Throwable
",hadoop,TestSwiftFileSystemLsOperations.java
215,215,void,"testListNonEmptyRoot() throws Throwable
",hadoop,TestSwiftFileSystemLsOperations.java
216,216,void,"testListStatusRootDir() throws Throwable
",hadoop,TestSwiftFileSystemLsOperations.java
217,217,void,"testListStatusFiltered() throws Throwable
",hadoop,TestSwiftFileSystemLsOperations.java
218,218,Object,"getDatum()
",hadoop,TaskFailedEvent.java
219,219,void,"setDatum(Object odatum)
",hadoop,TaskFailedEvent.java
220,220,TaskID,"getTaskId()
",hadoop,TaskFailedEvent.java
221,221,String,"getError()
",hadoop,TaskFailedEvent.java
222,222,long,"getFinishTime()
",hadoop,TaskFailedEvent.java
223,223,TaskType,"getTaskType()
",hadoop,TaskFailedEvent.java
224,224,TaskAttemptID,"getFailedAttemptID()
",hadoop,TaskFailedEvent.java
225,225,String,"getTaskStatus()
",hadoop,TaskFailedEvent.java
226,226,Counters,"getCounters()
",hadoop,TaskFailedEvent.java
227,227,EventType,"getEventType()
",hadoop,TaskFailedEvent.java
228,228,String,"getSelectQuery()
",hadoop,OracleDBRecordReader.java
229,229,void,"setSessionTimeZone(Configuration conf, Connection conn) throws SQLException
",hadoop,OracleDBRecordReader.java
230,230,void,"runCommand(DFSAdmin admin, boolean expectError, String... args) throws Exception
",hadoop,TestQuota.java
232,232,void,"testDSQuotaExceededExceptionIsHumanReadable() throws Exception
",hadoop,TestQuota.java
233,233,void,"testQuotaCommands() throws Exception
",hadoop,TestQuota.java
235,235,void,"testNamespaceCommands() throws Exception
",hadoop,TestQuota.java
236,236,void,"testSpaceCommands() throws Exception
",hadoop,TestQuota.java
237,237,void,"checkContentSummary(final ContentSummary expected, final ContentSummary computed)
",hadoop,TestQuota.java
238,238,void,"testMaxSpaceQuotas() throws Exception
",hadoop,TestQuota.java
239,239,void,"testBlockAllocationAdjustsUsageConservatively() throws Exception
",hadoop,TestQuota.java
240,240,void,"testMultipleFilesSmallerThanOneBlock() throws Exception
",hadoop,TestQuota.java
241,241,RegisterDatanodeResponseProto,"registerDatanode(RpcController controller, RegisterDatanodeRequestProto request) throws ServiceException
",hadoop,DatanodeProtocolServerSideTranslatorPB.java
242,242,HeartbeatResponseProto,"sendHeartbeat(RpcController controller, HeartbeatRequestProto request) throws ServiceException
",hadoop,DatanodeProtocolServerSideTranslatorPB.java
243,243,BlockReportResponseProto,"blockReport(RpcController controller, BlockReportRequestProto request) throws ServiceException
",hadoop,DatanodeProtocolServerSideTranslatorPB.java
244,244,CacheReportResponseProto,"cacheReport(RpcController controller, CacheReportRequestProto request) throws ServiceException
",hadoop,DatanodeProtocolServerSideTranslatorPB.java
245,245,BlockReceivedAndDeletedResponseProto,"blockReceivedAndDeleted(RpcController controller, BlockReceivedAndDeletedRequestProto request) throws ServiceException
",hadoop,DatanodeProtocolServerSideTranslatorPB.java
246,246,ErrorReportResponseProto,"errorReport(RpcController controller, ErrorReportRequestProto request) throws ServiceException
",hadoop,DatanodeProtocolServerSideTranslatorPB.java
247,247,VersionResponseProto,"versionRequest(RpcController controller, VersionRequestProto request) throws ServiceException
",hadoop,DatanodeProtocolServerSideTranslatorPB.java
248,248,ReportBadBlocksResponseProto,"reportBadBlocks(RpcController controller, ReportBadBlocksRequestProto request) throws ServiceException
",hadoop,DatanodeProtocolServerSideTranslatorPB.java
249,249,CommitBlockSynchronizationResponseProto,"commitBlockSynchronization(RpcController controller, CommitBlockSynchronizationRequestProto request) throws ServiceException
",hadoop,DatanodeProtocolServerSideTranslatorPB.java
250,250,void,"logSuccess(String user, String operation, String target)
",hadoop,HSAuditLogger.java
251,251,String,"createSuccessLog(String user, String operation, String target)
",hadoop,HSAuditLogger.java
252,252,void,"addRemoteIP(StringBuilder b)
",hadoop,HSAuditLogger.java
253,253,void,"add(Keys key, String value, StringBuilder b)
",hadoop,HSAuditLogger.java
254,254,void,"start(Keys key, String value, StringBuilder b)
",hadoop,HSAuditLogger.java
255,255,void,"logFailure(String user, String operation, String perm, String target, String description)
",hadoop,HSAuditLogger.java
256,256,String,"createFailureLog(String user, String operation, String perm, String target, String description)
",hadoop,HSAuditLogger.java
257,257,void,"getMetrics(MetricsCollector collector, boolean all)
",hadoop,MetricsSource.java
258,258,void,"shutdown() throws Exception
",hadoop,TestAclConfigFlag.java
259,259,void,"testModifyAclEntries() throws Exception
",hadoop,TestAclConfigFlag.java
260,260,void,"testRemoveAclEntries() throws Exception
",hadoop,TestAclConfigFlag.java
261,261,void,"testRemoveDefaultAcl() throws Exception
",hadoop,TestAclConfigFlag.java
262,262,void,"testRemoveAcl() throws Exception
",hadoop,TestAclConfigFlag.java
263,263,void,"testSetAcl() throws Exception
",hadoop,TestAclConfigFlag.java
264,264,void,"testGetAclStatus() throws Exception
",hadoop,TestAclConfigFlag.java
265,265,void,"testEditLog() throws Exception
",hadoop,TestAclConfigFlag.java
266,266,void,"testFsImage() throws Exception
",hadoop,TestAclConfigFlag.java
267,267,void,"expectException()
",hadoop,TestAclConfigFlag.java
268,268,void,"initCluster(boolean format, boolean aclsEnabled) throws Exception
",hadoop,TestAclConfigFlag.java
269,269,void,"restart(boolean checkpoint, boolean aclsEnabled) throws Exception
",hadoop,TestAclConfigFlag.java
270,270,Server,"getServer(Class<?> protocol, Object instance, InetSocketAddress addr, Configuration conf, SecretManager<? extends TokenIdentifier> secretManager, int numHandlers, String portRangeConfig)
",hadoop,RpcServerFactory.java
271,271,void,"bindTo(Path path, Configuration conf) throws IOException
",hadoop,ConcatenatedInputFilesDemuxer.java
