,SEQUENCE,POS,NLTK,CoreNLP,spaCy,Flair
0,accelerometer data,NM N,NM N,NM N,NM N,NM N
1,actual,N,JJ,NM,N,N
2,actual count,NM N,JJ N,NM N,NM N,NM N
3,actual suffix,NM N,JJ N,NM N,NM N,NM N
4,added unicode smp,NM NM N,NM NM N,NM NM N,NM NM N,NM NM N
5,all open files string,DT NM NM N,DT NM NM N,DT NM NM N,DT NM NM N,DT NM NM N
6,alt name,NM N,NM N,NM N,NM N,NM N
7,ambient coefficient,NM N,NM N,NM N,NM N,NM N
8,apply margin insets,V NM NPL,V NM NPL,NM NM NPL,V NM NPL,V NM NPL
9,arabic segmenter,NM N,NM N,NM N,NM N,NM N
10,array class,NM N,NM NN,NM N,NM N,NM N
11,assertion failed error,NM NM N,NM NM N,NM NM N,NM NM N,NM NM N
12,assigns,NPL,NPL,NPL,NPL,NPL
13,attribute,N,N,N,N,N
14,avg map,NM N,NM N,NM N,NM N,NM N
15,b flip horizontally,PRE V VM,PRE V VM,PRE V VM,PRE V VM,PRE V VM
16,b loop,PRE N,PRE N,NM N,PRE N,PRE N
17,b multi fullscreen,PRE NM N,PRE NM N,NM NM N,PRE NM N,PRE NM N
18,b3 push profile timing,PRE V NM N,PRE V NM N,PRE V NM N,PRE V NM N,PRE V NM N
19,backprop training,NM N,NM N,NM N,NM N,NM N
20,base category,NM N,NM N,NM N,NM N,NM N
21,base transform,NM N,NM N,NM N,NM N,NM N
22,bean configs,NM NPL,NM NPL,NM NPL,NM NPL,NM NPL
23,best node,NM N,NM N,NM N,NM N,NM N
24,binary rule,NM N,NM N,NM N,NM N,NM N
25,bitmap data size,NM NM N,NM NM NN,NM NM N,NM NM N,NM NM N
26,bm log,NM N,NM N,NM N,NM N,NM N
27,breakpoint,N,N,N,N,N
28,bt collision shape,PRE NM N,PRE NM N,PRE NM N,PRE NM N,PRE NM N
29,bt deformable contact constraint,PRE NM NM N,PRE NM NM N,PRE NM NM N,PRE NM NM N,PRE NM NM N
30,bt material,PRE N,PRE N,PRE N,PRE N,PRE N
31,build minimized fa,V NM N,NM NM N,NM NM N,V NM N,V NM N
32,build sentence from tokens,V N P NPL,NM NM IN N,NM NM P N,V N P N,NM N P NPL
33,c at background color,PRE NM NM N,PRE IN NM N,PRE NM NM N,PRE NM NM N,PRE NM NM N
34,c at font,PRE NM N,PRE IN N,PRE NM N,PRE NM N,PRE NM N
35,c at grayscale,PRE NM N,PRE IN N,PRE NM N,PRE NM N,PRE NM N
36,cache body unbuffered,NM N NM,NM N NM,NM N NM,NM N NM,NM N NM
37,cache control,NM N,NM N,NM NM,NM N,NM N
38,cache strategy,NM N,NM NN,NM N,NM N,NM N
39,call id,NM N,NM N,NM N,NM N N,NM N
40,cam rot z,NM NM N,NM NM N,NM NM N,NM NM N,NM NM N
41,category filter factory,NM NM N,NM NM N,NM NM N,NM NM N,NM NM N
42,cause matcher,NM N,NM N,NM N,NM N,NM N
43,certificate pinner,NM N,NM N,NM N,NM N,NM N
44,check permission,V N,NM N,V N,V N,V N
45,check t,V N,V N,V N,V N,V N
46,child categories,NM NPL,NM NPL,NM NPL,NM NPL,NM NPL
47,child joint,NM N,NM N,NM NM,NM N,NM N
48,child statement,NM N,NM NN,NM N,NM N,NM N
49,chinese treebank parser params,NM NM NM NPL,NM NM NM NPL,NM NM NM NPL,NM NM NM NPL,NM NM NM NPL
50,cipher suite,NM N,NM N,NM N,NM N,NM N
51,circle mesh,NM N,NM N,NM N,NM N,NM N
52,client certificates,NM NPL,NN NNS,NM NPL,NM NPL,NM NPL
53,client number,NM N,NN NN,NM N,NM N,NM N
54,clock,N,N,N,N,N
55,cmd str,NM N,NM N,NM N,NM N,NM N
56,code exception message,NM NM N,NM NM N,NM NM N,NM NM N,NM NM N
57,col length left,NM NM N,NM NM N,NM NM N,NM NM N,NM NM N
58,cone translation,NM N,NM N,NM N,NM N,NM N
59,configure timeouts,NM NPL,NM NPL,NM NPL,NM NPL,NM NPL
60,content type string,NM NM N,NM NM N,NM NM N,NM NM N,NM NM N
61,contours,NPL,N,N,NPL,NPL
62,convert bullet to grpc command,V N DT NM N,NM NPL P NM N,V N P PRE N,V N P PRE N,V N P NM N
63,convex shapes,NM NPL,NM NPL,NM NPL,NM NPL,NM NPL
64,cookie,N,N,NM,N,N
65,core,N,N,N,N,N
66,credentials,NPL,N,N,NPL,NPL
67,creds,NPL,NPL,NPL,NPL,NPL
68,crf non linear log conditional objective function,NM NM NM NM NM NM N,NM NM NM NM NM NM N,NM NM NM NM NM NM N,NM NM NM NM NM NM N,NM NM NM NM NM NM N
69,curr thread exception,NM NM N,NM NM N,NM NM N,NM NM N,NM NM N
70,data buf,NM N,NM N,NM N,NM N,NM N
71,data point method,NM NM N,NM NM N,NM NM N,NM NM N,NM NM N
72,default open,NM N,NM N,NM N,NM N,NM N
73,delay agnostic enabled,NM N V,NM N V,NM N V,NM N V,NM N V
74,dep h,NM N,NM N,NM N,NM N,NM N
75,depth cb,NM N,NM N,NM N,NM N,NM N
76,depth stencil as texture,NM N P N,NM N P N,NM N P N,NM N P N,NM N P N
77,describe mismatch safely,V N NM,NM NM N,NM NM N,NM NM N,V NM N
78,diff fd,NM N,NM N,N NM,NM N,NM N
79,disk lru cache,NM NM N,NM NM N,NM NM N,NM NM N,NM NM N
80,do install status,V NM N,V NM NN,V NM N,V NM N,V NM N
81,dynamic textured cube demo,NM NM NM N,NM NM NM N,NM NM NM N,NM NM NM N,NM NM NM N
82,edit count,NM N,NM N,NM N,NM N,NM N
83,eglew android frame buffer target,PRE PRE NM NM N,PRE PRE NM NM N,PRE NM NM NM N,PRE PRE NM NM N,PRE PRE NM NM N
84,eglew create platform window surface,PRE V NM NM N,PRE V NM NM N,PRE V NM NM N,PRE V NM NM N,PRE V NM NM N
85,enable materials,V NPL,V NNS,V NPL,V NPL,V NPL
86,encoded path segments,NM NM NPL,NM NM NPL,NM NM NPL,NM NM NPL,NM NM NPL
87,encoded values,NM NPL,NM N,NM N,NM N,NM NPL
88,enum count,NM N,NM N,NM N,NM N,NM N
89,equals offset,NM N,NM N,NM N,NM N,NM N
90,exception channels,NM NPL,NM NPL,NM NPL,NM NPL,NM NPL
91,expand headers from request,V NPL P N,V NPL IN N,V NPL P N,V NPL P N,V NPL P N
92,expected exception,NM N,NM N,NM N,NM N,NM N
93,expected string,NM N,NM N,NM N,NM N,NM N
94,f context length,NM NM N,PRE NM N,NM NM N,PRE NM N,PRE NM N
95,f ptr out,PRE NM N,PRE NM N,NM NM N,PRE NM N,PRE NM N
96,factory class,NM N,NM NN,NM N,NM N,NM N
97,failed assumptions with message,V NPL P N,NM NPL IN N,NM N P N,NM NPL P N,NM NPL P N
98,file channel,NM N,NM N,NM N,NM N,NM N
99,file operator,NM N,NM N,NM N,NM N,NM N
100,filter spec,NM N,NM N,NM N,NM N,NM N
101,find syntactic head,V NM N,V NM N,V NM N,V NM N,V NM N
102,firmata i2c data,NM NM NPL,NM NM N,NM NM N,NM NM NPL,NM NM N
103,first space,NM N,NM NN,NM N,NM N,NM N
104,flag,N,N,N,N,N
105,flags classifier pair,NM NM N,NM NM N,NM NM N,NM NM N,NM NM N
106,folder names,NM NPL,NM NPL,NM NPL,NM NPL,NM NPL
107,follow component,V N,V N,V N,V N,V N
108,followup,N,N,N,N,N
109,force network,NM N,NM NN,V NM,V N,NM N
110,free positions,NM NPL,NM NNS,NM NPL,NM NPL,NM NPL
111,free texture,NM N,NM N,NM N,NM N,NM N
