,SEQUENCE,POS,NLTK,CORENLP,OPENNLP,SPACY,FLAIR,STANZA
0,data,NNS,NNS,NNS,NNS,NNS,NNS,NNS
1,size,NN,NN,NN,NN,NN,NN,NN
2,p,FW,NN,NN,NN,NN,NN,NN
3,end,NN,NN,NN,NN,NN,VB,NN
4,nal start,NNP NN,JJ NN,JJ NN,JJ NN,JJ NN,NNP VBP,JJ NN
5,is key frame,VBZ JJ NN,VBZ JJ NN,VBZ JJ NN,VBZ JJ NN,VBZ JJ NN,VBZ JJ NN,VBZ JJ NN
6,priority,NN,NN,NN,NN,NN,NN,NN
7,s,FW,NN,NN,PRP,NNS,LS,NNP
8,avc packet,NNP NN,NN NN,NN NN,JJ NN,NNP NNP,NNP NN,NN NN
9,src,NN,NN,NN,NN,NN,NN,NN
10,packet,NN,NN,NN,NN,JJ,NN,NN
11,sps,NNP,NN,NNS,NNS,NNP,NNS,NNS
12,sps size,NNP NN,NN NN,VBZ NN,NNS NN,NNP NN,VBZ NN,NN NN
13,pps,NNP,NN,NNS,NN,NN,NNS,NN
14,pps size,NNP NN,NN NN,NNS NN,NN NN,NNP NN,NNS NN,NN NN
15,header,NN,NN,NN,NN,NN,NN,NN
16,new packet data,JJ NN NNS,JJ NN NNS,JJ NN NNS,JJ NN NNS,JJ JJ NNS,JJ NN NNS,JJ NN NNS
17,new packet size,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ JJ NN,JJ NN NN,JJ NN NN
18,header data,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
19,header size,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
20,sei data,FW NNS,NN NNS,NN NNS,NN NNS,NNP NNS,NNP NNS,UH NNS
21,sei size,FW NN,NN NN,NN NN,NN NN,NNP NN,NNP NN,UH NN
22,vi,NNP,NN,NNP,NN,NN,UH,NNP
23,ovi,NNP,NN,NNP,NN,NNS,NNP,NNP
24,video,NN,NN,NN,NN,NN,NN,NN
25,i,FW,NN,PRP,FW,PRP,PRP,PRP
26,effect,NN,NN,NN,NN,NN,NN,NN
27,file,NN,NN,NN,NN,VB,NN,NN
28,info,NN,NN,NN,NN,NN,UH,NN
29,ai,NNP,NN,VBP,VBP,VBP,UH,UH
30,view,NN,NN,NN,NN,NN,NN,VB
31,unused,JJ,JJ,JJ,JJ,JJ,JJ,JJ
32,locale,NN,NN,NN,NN,NNP,NN,NN
33,module config path,NN NN NN,NN NNS NN,NN NN NN,NN NN NN,NN NNP NN,NN JJ NN,NN NN NN
34,store,NN,NN,NN,NN,VB,NN,NN
35,path,NN,NN,NN,NN,NN,NN,NN
36,argc,NNP,NN,NN,NN,NN,NN,NNP
37,argv,NNP,NN,NN,NN,NN,NN,NN
38,width,NN,NN,NN,NN,VBP,NN,NN
39,height,NN,NN,NN,NN,NN,NN,NN
40,oai,NNP,NN,NNP,NNS,RB,UH,NNP
41,sdr white level,NNP NN NN,JJ JJ NN,NN JJ NN,JJ JJ NN,NNP JJ NN,NN JJ NN,NN JJ NN
42,hdr nominal peak level,NN JJ NN NN,JJ JJ NN NN,NN JJ NN NN,JJ JJ NN NN,NNP JJ NN NN,PRP$ JJ NN NN,NN JJ NN NN
43,idx,NN,NN,NNP,NN,NNP,NNP,NN
44,id,NN,NN,NN,NN,<UNK>,NN,NN
45,unversioned id,JJ NN,JJ NN,JJ NN,VBN NN,VBD <UNK>,JJ NN,VBN NN
46,channel,NN,NNS,NN,NN,NN,NN,NN
47,source,NN,NN,NN,NN,NN,NN,NN
48,param,NN,NN,NN,NN,VB,NN,NN
49,p start,FW NN,JJ NN,NN NN,NN NN,NN NN,NN VBP,NN NN
50,mutex,NN,NN,NN,NN,NN,NNP,NN
51,proc,NN,NN,NN,NN,NNP,NN,NN
52,v first,FW NN,NN RB,NN RB,NN RB,IN RB,UH RB,NN JJ
53,name,NN,NN,NN,NN,NN,NN,NN
54,p table,FW NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
55,uuid,NNP,NN,JJ,NN,NNS,NNP,NN
56,ref,NN,NN,NN,NN,NNP,NN,NN
57,src c,NN FW,NN NN,NN NN,NN NNS,NN NN,NN NN,NN NN
58,dest c,NN FW,JJS NN,JJS NN,NN NNS,JJR NN,JJS NN,JJ NN
59,src a,NN FW,NN DT,VB DT,NN DT,VB DT,NN DT,NN NN
60,dest a,NN FW,VB DT,JJS DT,NN DT,JJR DT,UH DT,JJ DT
61,volume,NN,NN,NN,NN,NN,NN,NN
62,source data,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
63,is private,VBZ JJ,VBZ JJ,VBZ JJ,VBZ JJ,VBZ JJ,VBZ JJ,VBZ JJ
64,array,NN,NN,NN,NN,VB,NN,NN
65,cb,NNP,NN,NNP,NN,UH,NN,NN
66,private data,JJ NNS,JJ NNS,JJ NNS,JJ NNS,JJ NNS,JJ NNS,JJ NNS
67,private,JJ,JJ,JJ,JJ,JJ,JJ,JJ
68,context,NN,NN,NN,NN,NN,NN,NN
69,type,NN,NN,NN,NN,NN,NN,NN
70,settings,NNS,NNS,NNS,NNS,NNS,NNS,NNS
71,hot key data,JJ NN NNS,JJ NN NNS,JJ JJ NNS,JJ NN NNS,JJ JJ NNS,JJ JJ NNS,JJ JJ NNS
72,object,NN,NN,NN,NN,NN,NN,NN
73,destroy,VB,NN,VB,VB,VB,VB,VB
74,p first,FW NN,NN RB,NN RB,NN RB,NN JJ,NN RB,NN RB
75,p hash,FW NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
76,p first uuid,FW NN NNP,NN RB JJ,NN JJ NN,NN JJ NN,NN JJ NNS,NN JJ NN,NN JJ NN
77,p head,FW NN,NNS VBP,NN NN,NN NN,NN NN,NN NN,NN NN
78,p uuid head,FW NNP NN,NN JJ NN,NN JJ NN,NN JJ NN,NN JJ NN,NN NN NN,NN NN NN
79,obj,NN,NN,NNP,NN,NNP,NNP,NNP
80,v,FW,NN,NN,NN,LS,NN,NN
81,conversion,NN,NN,NN,NN,NN,NN,NN
82,frame rate divisor,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
83,mix idx,NN NN,NN NN,NN NN,NN NN,VB NN,VB NN,VB NN
84,callback,NN,NN,NN,NN,NN,NN,NN
85,encoder,NN,NN,NN,NN,NN,NN,NN
86,task,NN,NN,NN,NN,NN,NN,NN
87,wait,VB,NN,VB,VB,VB,VB,VB
88,handler,NN,NN,NN,NN,NN,NN,NN
89,weak,JJ,JJ,JJ,JJ,JJ,JJ,JJ
90,protocol,NN,NN,NN,NN,VB,NN,NN
91,f,FW,NN,NN,NN,LS,LS,NNP
92,ver,NN,NN,NN,RB,NN,FW,UH
93,key,NN,NN,JJ,NN,JJ,NN,NN
94,pressed,JJ,VBN,JJ,VBN,VBD,VBN,VBN
95,last obs ver,JJ FW NN,JJ NN NN,JJ NN NN,JJ NNS RB,JJ NNP NN,JJ NNP FW,JJ NNS RB
96,dst,NNP,NN,NN,NN,IN,NN,NN
97,filter,NN,NN,NN,NN,VB,NN,NN
98,new name,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
99,create private,VB JJ,NN JJ,VB JJ,VBP JJ,VB JJ,VB JJ,VB JJ
100,frame,NN,NN,NN,NN,NN,NN,NN
101,format,NN,NN,NN,NN,NN,NN,NN
102,new path,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
103,event,NN,NN,NN,NN,NN,NN,NN
104,mouse up,NN RP,NN RP,NN RP,NN IN,VB RP,NNP RB,NN RP
105,click count,VB NN,NN NN,VB NN,NN NN,VB NN,VB NN,VB NN
106,mouse leave,NN VB,NN VBP,NN NN,NN NN,NNP VB,NNP VBP,NN NN
107,x delta,FW NN,NN NN,LS NN,NN NN,NFP NNP,FW FW,NN NN
108,y delta,FW NN,NN NN,NN NN,JJ NN,NNP NNP,UH NN,LS NN
109,focus,NN,NN,NN,NN,VB,NN,VB
110,key up,VB RP,NN RP,JJ RP,NN IN,NN RB,NN RP,JJ RP
111,centered,JJ,VBN,VBN,VBN,VBN,VBN,VBN
112,parent,NN,NN,NN,NN,NN,NN,NN
113,child,NN,NN,NN,NN,NN,NN,NN
114,ref frame,NN NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
115,seconds,NNS,NNS,NNS,NNS,NNS,NNS,NNS
116,sample rate,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
117,frames,NNS,NNS,NNS,NNS,NNS,NNS,NNS
118,duration,NN,NN,NN,NN,NN,NN,NN
119,timestamp,NN,NN,NN,NN,NN,NN,NN
120,os time,NNP NN,JJ NN,NN NN,NNS NN,IN NN,IN NN,VBZ NN
121,expected,JJ,VBN,VBN,VBN,VBD,VBN,VBN
122,ts,NNP,NN,NNS,NNS,IN,XX,UH
123,diff,NN,NN,NN,NN,NN,NN,NN
124,in,IN,IN,IN,IN,IN,IN,RB
125,muted,JJ,VBN,JJ,VBN,VBD,JJ,JJ
126,ts 1,NNP CD,NN CD,NNS CD,NNS CD,IN CD,VBZ CD,NN CD
127,ts 2,NNP CD,NN CD,NNS CD,NNS CD,IN CD,VBZ CD,NN CD
128,audio,NN,NN,NN,NN,NNP,JJ,NN
129,offset,NN,NN,VBN,VBN,VB,NN,NN
130,full range,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
131,trc,NNP,NN,NN,NN,FW,NNP,NNP
132,val,NN,NN,NN,NN,NN,NNP,NN
133,tex render,NN VB,NN NN,NN VBP,NN NN,NNP NNP,NN NN,NN NN
134,tex,NNP,NN,NN,NN,NNP,NN,NN
135,rotation,NN,NN,NN,NN,NN,NN,NN
136,count,VB,NN,NN,NN,VB,VB,VB
137,preferred spaces,JJ NNS,JJ NNS,VBN NNS,VBN NNS,VBN NNS,JJ NNS,VBN NNS
138,cur idx,NN NN,NN NN,IN NN,NN NN,NNP NNP,NN NN,VB NN
139,movement,NN,NN,NN,NN,NN,NN,NN
140,index,NN,NN,NN,NN,NN,NN,NN
141,plane,NN,NN,NN,NN,NN,NN,NN
142,y,FW,NN,NN,NN,NNP,UH,NNP
143,lines,NNS,NNS,NNS,NNS,NNS,NNS,NNS
144,captions,NNS,NNS,NNS,NNS,NNS,NNS,NNS
145,balance,NN,NN,NN,NN,NN,NN,NN
146,audio in,NN IN,NN IN,NN IN,NN IN,JJ IN,NN IN,NN RB
147,sys time,NN NN,NN NN,NNS NN,NNS NN,NN NN,NNP NN,NN NN
148,target,NN,NN,NN,NN,VB,NN,NN
149,tech name,NN NN,NN NN,NN NN,NN NN,NN NN,JJ NN,NN NN
150,filter flags,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
151,parent flags,JJ NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
152,allow direct,VB JJ,IN JJ,VB JJ,VB JJ,VB JJ,VB JJ,VB JJ
153,space,NN,NN,NN,NN,NN,NN,NN
154,enum callback,NN NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
155,flags,NNS,NNS,NNS,NNS,NNS,NNS,NNS
156,mixers,NNS,NNS,NNS,NNS,NNS,NNS,NNS
157,color matrix,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
158,color range min,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NNP NNP NNP,NN NN NN,NN NN NN
159,color range max,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NNP NN NNP,NN NN NN,NN NN NN
160,texture,NN,NN,NN,NN,NN,NN,NN
161,x,FW,NN,LS,NN,VBD,LS,NN
162,cx,FW,NN,NNP,NN,VB,NN,NNP
163,cy,FW,NN,NN,NN,RB,NN,NNP
164,flip,VB,NN,NN,VB,VB,VB,VB
165,hidden,JJ,NN,JJ,VBN,VBN,VBN,JJ
166,enabled,VBN,VBN,VBD,VBN,VBD,VBN,VBN
167,signal,NN,NN,NN,NN,NN,NN,VB
168,delay,VB,NN,NN,NN,NN,NN,NN
169,mix,NN,NN,NN,NN,VB,NN,VB
170,channels,NNS,NNS,NNS,NNS,NNS,NNS,NNS
171,vol,NN,NN,NN,NN,VB,NN,UH
172,vol data,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,FW NNS,JJ NNS
173,action,NN,NN,NN,NN,NN,NN,NN
174,unbuffered,JJ,JJ,JJ,VBN,VBD,JJ,JJ
175,decouple,VB,NN,VB,NN,NNS,NN,VB
176,enable,VB,JJ,VB,VB,VB,VB,VB
177,active,JJ,JJ,JJ,JJ,JJ,JJ,JJ
178,pause,VB,NN,NN,NN,VB,VB,NN
179,ms,NNP,NN,NN,NNS,NNP,UH,UH
180,hevc packet,NNP NN,NN NN,NN NN,NN NN,NNP JJ,NNP NN,NN NN
181,module,NN,NN,NN,NN,NN,NN,NN
182,func,NN,NN,NN,NN,VBZ,NNS,NN
183,trace,NN,NN,NN,NN,NN,NN,NN
184,module name,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
185,module base,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
186,module size,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
187,thread,NN,NN,NN,NN,NN,NN,NN
188,entry,NN,NN,NN,NN,NN,NN,NN
189,first thread,JJ NN,RB NN,RB NN,JJ NN,JJ NN,JJ NN,JJ NN
190,exception,NN,NN,NN,NN,NN,NN,NN
191,mixer idx,NN NN,NN NN,NN NN,NN NN,NNP NN,NN NN,NN NN
192,shutdown,NN,NN,NN,NN,NN,NN,NN
193,extra data,JJ NNS,JJ NNS,JJ NNS,JJ NNS,JJ NNS,JJ NNS,JJ NNS
194,reroute id,VB NN,NN NN,VB NN,NN NN,VB <UNK>,NN RB,VB NN
195,input,NN,NN,NN,NN,NN,NN,NN
196,expected selection,JJ NN,VBN NN,VBN NN,VBN NN,VBN NN,VBN NN,VBN NN
197,layouts,NNS,NNS,NNS,NNS,NNS,NNS,NNS
198,av layout,FW NN,NN NN,NN NN,NN NN,NNP NN,NN NN,JJ NN
199,mp layout,FW NN,NN NN,NN NN,NN NN,NNP NNP,NNP NN,NN NN
200,require default unspec,VB JJ JJ,NN NN NN,VBP NN NN,VB NN IN,VB NN NNP,VB NN NN,VB NN NN
201,p ctx,FW NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
202,img fmt dst,NN NN NNP,NN NN NN,NN NN NN,JJ NN NN,NNP VB IN,NNP FW FW,VBN NN NN
203,img fmt src,NN NN NN,NN NN NN,NN NN NN,JJ NN NN,NNP NN NN,FW FW FW,JJ NN NN
204,status,NN,NN,NN,NN,NN,NN,NN
205,property,NN,NN,NN,NN,NN,NN,NN
206,expect,VB,VB,VB,VB,VB,VB,VB
207,a,FW,DT,DT,DT,DT,LS,DT
208,b,FW,NN,NN,NN,LS,LS,NN
209,w,FW,NN,IN,WRB,NNP,XX,UH
210,h,FW,NN,NN,NN,NN,NFP,LS
211,bytes,NNS,NNS,NNS,NNS,NNS,NNS,NNS
212,rgb,NNP,NN,NN,NN,NNP,NN,NN
213,alpha,NN,NN,NN,NN,NN,NN,NN
214,s test,FW NN,JJ NN,NN NN,PRP NN,POS NN,NN NN,POS NN
215,img,NN,NN,NNP,NN,VB,UH,NN
216,new,JJ,JJ,JJ,JJ,JJ,JJ,JJ
217,line,NN,NN,NN,NN,NN,NN,NN
218,c,FW,NNS,NN,NN,NN,NN,ADD
219,abs,NNP,NNS,NNS,NNS,NNS,XX,NNS
