,SEQUENCE,POS,NLTK,CORENLP,OPENNLP,SPACY,FLAIR,STANZA
0,sequence not str,NN RB NN,NN RB VB,NN RB VB,NN RB RB,NN RB VB,NN RB NN,NN RB RB
1,base buffer,JJ NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2,read buffer,VB NN,NN NN,VB NN,VBN NN,VB NN,VB NN,VB NN
3,write buffer,VB NN,NN NN,NN NN,VB NN,VB NN,VB NN,VB NN
4,read pickle buffer,VB NN NN,VB NN NN,VB NN NN,VBN NN NN,VB NN NN,VB NN NN,VB NN NN
5,write excel buffer,VB NNP NN,JJ NN NN,VB NNP NN,VB VBP VB,VB NNP NN,VB JJ NN,VB NN NN
6,read csv buffer,VB NNP NN,VB NN NN,VB NN NN,VBN NN NN,VB NNP VB,VB NN NN,VB NN NN
7,test sub dict,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NNP NNP NNP,NN NN NN,NN NN NN
8,test non dict mapping,VB RB NN NN,NN NN NN NN,NN FW FW NN,NN JJ NN NN,VBP AFX NN NN,NN AFX NN NN,NN AFX NN NN
9,versioneer config,NNP NN,NN NN,JJ NN,NN NN,NNP NNP,NN NN,NN NN
10,not this method,RB DT NN,RB DT NN,RB DT NN,RB DT NN,RB DT NN,RB DT NN,RB DT NN
11,int casting na n error,NN VBG NNP NNP NN,NN VBG JJ JJ NN,NN VBG TO NN NN,NN VBG TO NN NN,NN NN IN NN NN,NN VBG NN CC NN,RB NN TO CC NN
12,null frequency error,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,NNP NNP NN,JJ NN NN,JJ NN NN
13,performance warning,NN NN,NN NN,NN NN,NN VBG,NN VBG,NN NN,NN NN
14,unsupported function call,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
15,unsorted index error,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
16,parser error,NN NN,NN NN,NN NN,NN NN,NNP NN,NN NN,NN NN
17,d type warning,FW NN NN,NN NN NN,NN NN NN,JJ NN VBG,LS NN NN,XX NN NN,NN NN NN
18,empty data error,JJ NNS NN,JJ NNS NN,JJ NNS NN,JJ NNS NN,JJ NNS NN,JJ NN NN,JJ NNS NN
19,parser warning,NN NN,NN NN,NN NN,NN VBG,NN NN,NN VBG,NN NN
20,merge error,VB NN,NN NN,VB NN,VBP NN,VB NN,VB NN,VB NN
21,abstract method error,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
22,num ba util error,NN FW NN NN,NN NN JJ NN,NNP NNP NNP NN,NN NN NN NN,JJ NNP NNP NN,UH NN NN NN,NN NN NN NN
23,duplicate label error,JJ NN NN,NN NN NN,JJ NN NN,NN NN NN,VB NN NN,JJ NN NN,VB NN NN
24,invalid index error,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
25,data error,NN NN,NNS NN,NNS NN,NNS NN,NNS NN,NN NN,NN NN
26,specification error,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
27,chained assignment error,JJ NN NN,VBN JJ NN,VBN NN NN,VBN NN NN,VBN NN NN,JJ NN NN,VBN NN NN
28,num expr clobbering error,NN NN VBG NN,NN NN VBG NN,NNP NN VBG NN,NN NN NN NN,JJ NN VBG NN,UH JJ NN NN,NN NN NN NN
29,undefined variable error,JJ NN NN,JJ JJ NN,JJ JJ NN,JJ JJ NN,VBN JJ NN,JJ JJ NN,JJ JJ NN
30,indexing error,NN NN,VBG NN,NN NN,NN NN,NN NN,VBG NN,NN NN
31,pyperclip exception,NNP NN,NN NN,JJ NN,NN NN,NN NN,NN NN,NN NN
32,pyperclip windows exception,NNP NNS NN,NN VBZ NN,JJ NNS NN,NN NNS NN,NN VBZ NN,NN NNS NN,NN NNS NN
33,css warning,NNP NN,NN NN,VBP NN,NN VBG,NN NN,NNS VBG,NN NN
34,possible data loss error,JJ NN NN NN,JJ NNS NN NN,JJ NNS NN NN,JJ NNS NN NN,JJ NN NN NN,JJ NN NN NN,JJ NNS NN NN
35,closed file error,JJ NN NN,VBN NN NN,JJ NN NN,VBD NN NN,VBN NN NN,VBN NN NN,VBN NN NN
36,incompatibility warning,NN NN,NN NN,NN NN,NN VBG,NN NN,NN NN,NN NN
37,attribute conflict warning,NN NN NN,JJ NN NN,NN NN NN,NN NN VBG,VB NN NN,VB NN NN,VB NN NN
38,database error,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
39,possible precision loss,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
