,SEQUENCE,POS,NLTK,CORENLP,OPENNLP,SPACY,FLAIR,STANZA
0,new distribution block,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
1,get distribution,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2,usage,NN,NN,NN,NN,NN,NN,NN
3,path is directory,NN VBZ NN,NN VBZ JJ,NN VBZ NN,NN VBZ NN,NN VBZ NN,NN VBZ NN,NN VBZ NN
4,initialize hadoop logs analyzer,VB NNP NNS NN,VB NN NNS VBP,VB NN NNS NN,NN NN VBZ NN,NNP NN NNS NN,VB NN NNS NN,VB NN NNS NN
5,maybe uncompressed path,RB JJ NN,RB JJ NN,RB JJ NN,RB JJ NN,RB JJ NN,RB JJ NN,RB JJ NN
6,set next directory input stream,VB JJ NN NN NN,VBN JJ NN NN NN,VBN JJ NN NN NN,VBN JJ NN NN NN,VBN JJ NN NN NN,VBN JJ NN NN NN,VB JJ NN NN NN
7,read input line,VB NN NN,JJ NN NN,VB NN NN,VB NN NN,VBD NN NN,VB NN NN,VB NN NN
8,read counted line,VB VBN NN,NN VBD NN,VB VBN NN,VB VBD NN,VBD VBN NN,VB VBN NN,VB VBN NN
9,unread counted line,JJ VBN NN,JJ VBD NN,JJ VBN NN,JJ VBD NN,VB VBN NN,JJ VBN NN,VBN VBN NN
10,apparent conf file header,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN,JJ JJ NN NN,JJ NN NN NN,JJ NN NN NN
11,apparent xml file start,JJ NNP NN NN,JJ NNP NN NN,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN,JJ NN NN VB,JJ NN NN NN
12,read balanced line,JJ JJ NN,NN VBD NN,VB JJ NN,VB VBN NN,VBD JJ NN,VB JJ NN,VB VBN NN
13,incorporate spread,JJ NN,NN NN,VB NN,NN NN,NN VBN,VB NN,VB NN
14,canonical distributions enter,JJ NNS VB,JJ NNS VBP,JJ NNS VBP,JJ NNS VBP,JJ NNS VBP,JJ NNS VBP,JJ NNS VBP
15,process job line,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
16,process task line,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
17,counter pattern,NN NN,NN NN,RB NN,NN NN,NN NN,NN NN,NN NN
18,parse counter,VB NN,NN NN,VB RB,JJ NN,NNP VB,NN NN,NN NN
19,set,VB,NN,NN,VBN,VB,NN,VB
20,incorporate counter,JJ NN,NN NN,VB RB,NN NN,VB .,VB NN,VB NN
21,incorporate counters,JJ NNS,NN NNS,VB NNS,NN NNS,VB NNS,VB NNS,VB NNS
22,get and record parsed host,VB IN VB JJ NN,NN CC NN VBD NN,VB CC VB VBN NN,VB CC VB VBN NN,VB CC VB VBN NN,VB CC NN VBN NN,VB CC VB VBN NN
23,process map attempt line,VB NN VB NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN
24,process reduce attempt line,VB VB VB NN,NN VB NN NN,NN VBP NN NN,NN VB NN NN,NN VB NN NN,NN VB NN NN,NN VB NN NN
25,process parsed line,VB JJ NN,NN VBD NN,NN VBD NN,NN VBD NN,NN VBD NN,NN VBN NN,NN VBN NN
26,print distribution set,VB NN NN,NN NN NN,NN NN NN,NN NN VBN,NN NN VBN,NN NN NN,NN NN NN
27,print single distribution data,VB JJ NN NN,NN JJ NN NNS,NN JJ NN NNS,NN JJ NN NNS,NN JJ NN NNS,NN JJ NN NNS,VB JJ NN NNS
28,maybe mate job and conf,RB NN NN IN NN,RB JJ NN CC NN,RB VB NN CC NN,RB NN NN CC NN,RB VB NN CC NN,RB NN NN CC NN,RB NN NN CC NN
29,map cdf array list,VB NNP NN NN,NN NN NN NN,NN NN NN NN,NN JJ NN NN,VB NNP NN NN,NN NN NN NN,NN NN NN NN
30,finalize job,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
31,run,VB,VB,NN,NN,VB,VB,NN
32,main,NN,JJ,JJ,JJ,JJ,JJ,JJ
33,test conn configuratior,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NNP NNP NNP,NN NN NN,NN NN NN
34,configure,VB,NN,VB,NN,NN,NN,VB
35,put counters,VB NNS,NN NNS,VBN NNS,NN NNS,VBD NNS,VB NNS,VB NNS
36,obtain counters,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
37,put diagnostic info,VB JJ NN,VBN JJ NN,VBN JJ NN,VBN JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
38,obtain diagnostic info,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
39,put tracker name,VB NN NN,NN NN NN,VBN NN NN,VBN NN NN,NNP NN NN,VB NN NN,VB NN NN
40,obtain tracker name,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
41,put http port,VB NNP NN,NN NN NN,VBN NN NN,VBN JJ NN,VB NN NN,VB JJ NN,VB NN NN
42,obtain http port,VB NNP NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
43,put shuffle port,VB NN NN,NN NNS NN,VBN NN NN,VBN NN NN,VB NN NN,VB NN NN,VB NN NN
44,obtain shuffle port,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
45,dump parsed task attempt,VB JJ NN NN,NN VBD NN NN,NN VBD NN NN,VB VBN NN NN,VB JJ NN NN,NN VBN NN NN,VB VBN NN NN
46,get proto,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
47,hash code,NN NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
48,equals,VBZ,NNS,VBZ,NNS,VBZ,VBZ,VBZ
49,to string,TO NN,TO VBG,IN NN,TO NN,TO VB,TO VB,TO VB
50,merge local to builder,VB NN TO NN,VB JJ TO VB,VB JJ IN NN,VB JJ TO NN,VB JJ TO NN,VB JJ IN NN,VB JJ TO VB
51,maybe init builder,RB JJ NN,RB NN NN,RB JJ NN,RB NN NN,RB VBD NN,RB NN NN,RB NN NN
52,get size,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
53,set size,VB NN,VBN NN,VBN NN,NN NN,VBN NN,VB NN,VB NN
54,get timestamp,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
55,set timestamp,VB NN,NN NN,VBN NN,VBN NN,VBN NN,NN NN,VB NN
56,get type,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
57,set type,VB NN,VBN NN,VBN NN,VBN NN,VBN NN,VBN NN,VB NN
58,get resource,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
59,set resource,VB NN,VBN NN,VBN NN,VBN NN,VBN NN,VBN NN,VB NN
