,sequence,pos,nltk,corenlp,opennlp,spacy,flair
0,new distribution block,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
1,get distribution,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2,usage,NN,VB,NN,NN,VB,NN
3,path is directory,NN VBZ NN,NN VBZ NN,NN VBZ NN,NN VBZ NN,NN VBZ NN,NN VBZ NN
4,initialize hadoop logs analyzer,VB NNP NNS NN,VB NN NNS NN,VB NN NN NN,VB NN NN NN,VB JJ NN NN,VB NN NNS NN
5,maybe uncompressed path,RB JJ NN,RB JJ NN,RB JJ NN,MD VBN NN,RB JJ NN,RB JJ NN
6,set next directory input stream,VB JJ NN NN NN,VB JJ NN NN NN,VB JJ NN NN NN,VB JJ NN NN NN,VB JJ NN NN NN,VB JJ NN NN NN
7,read input line,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
8,read counted line,VB VBN NN,VB VBN NN,VB NN NN,VB JJ NN,VB VBN NN,VB VBN NN
9,unread counted line,JJ VBN NN,VB VBN NN,VB NN NN,VB JJ NN,VB VBN NN,VB VBN NN
10,apparent conf file header,JJ NN NN NN,JJ NN NN NN,VB NN NN NN,VB NN NN NN,NN NN NN NN,JJ NN NN NN
11,apparent xml file start,JJ NNP NN NN,JJ NNP NN NN,VB NNP NN NN,VB NNP NN NN,VB NNP NN NN,JJ NNP NN NN
12,read balanced line,JJ JJ NN,VB JJ NN,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NN
13,incorporate spread,JJ NN,VB NN,VB NN,VB NN,VB NN,VB NN
14,canonical distributions enter,JJ NNS VB,JJ NNS NN,JJ NN NN,JJ NNS NN,JJ NNS NN,JJ NNS VBP
15,process job line,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
16,process task line,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
17,counter pattern,NN NN,VB NN,VB NN,VB NN,NN NN,VB NN
18,parse counter,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
19,set,VB,VB,VB,VB,VB,VB
20,incorporate counter,JJ NN,VB NN,VB NN,VB NN,VB NN,VB NN
21,incorporate counters,JJ NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
22,get and record parsed host,VB IN VB JJ NN,VB CC NN VBN NN,VB CC VB NN NN,VB CC VB VBN NN,VB CC NN VBN NN,VB CC NN VBN NN
23,process map attempt line,VB NN VB NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
24,process reduce attempt line,VB VB VB NN,VB VB NN NN,VB VB NN NN,VB JJ NN NN,VB VB JJ NN,VB VB NN NN
25,process parsed line,VB JJ NN,VB VBN NN,VB NN NN,VB VBN NN,VB VBN NN,VB VBN NN
26,print distribution set,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
27,print single distribution data,VB JJ NN NN,VB JJ NN NNS,VB JJ NN NNS,VB JJ NN NNS,VB JJ NN NNS,VB JJ NN NNS
28,maybe mate job and conf,RB NN NN IN NN,RB VB NN CC NN,RB VB NN CC NN,RB VB NN CC NN,RB VB NN CC NN,RB VB NN CC NN
29,map cdf array list,VB NNP NN NN,VB NN NN NN,VB JJ NN NN,VB JJ NN NN,VB NNP NN NN,VB NNP NN NN
30,finalize job,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
31,run,VB,VB,VB,VB,VB,VB
32,main,NN,JJ,JJ,VB,NN,NN
33,test conn configuratior,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
34,configure,VB,VB,VB,VB,VB,VB
35,put counters,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
36,obtain counters,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
37,put diagnostic info,VB JJ NN,VB JJ NN,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NN
38,obtain diagnostic info,VB JJ NN,VB JJ NN,VB NN NN,JJ JJ NN,VB JJ NN,VB NN NN
39,put tracker name,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
40,obtain tracker name,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
41,put http port,VB NNP NN,VB NN NN,VB NN NN,VB NN NN,VB NNP NN,VB NNP NN
42,obtain http port,VB NNP NN,VB NN NN,VB NN NN,VB NNP NN,VB NN NN,VB NNP NN
43,put shuffle port,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
44,obtain shuffle port,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
45,dump parsed task attempt,VB JJ NN NN,VB VBN NN NN,VB NN NN NN,VB VBN NN NN,VB VBN NN NN,VB VBN NN NN
46,get proto,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
47,hash code,NN NN,VB NN,VB NN,VB NN,NN NN,VB NN
48,equals,VBZ,VBZ,VBZ,VBZ,VBZ,VBZ
49,to string,TO NN,TO NN,TO NN,TO NN,TO NN,TO NN
50,merge local to builder,VB NN TO NN,VB JJ TO NN,VB JJ TO NN,VB JJ TO NN,VB JJ TO NN,VB JJ TO NN
51,maybe init builder,RB JJ NN,RB JJ NN,RB VB NN,RB VB NN,RB VB NN,RB VB NN
52,get size,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
53,set size,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
54,get timestamp,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
55,set timestamp,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
56,get type,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
57,set type,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
58,get resource,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
59,set resource,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
60,get visibility,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
61,set visibility,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
62,get pattern,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
63,set pattern,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
64,convert to proto format,VB TO NN NN,VB TO JJ NN,VB TO NN NN,VB TO VB NN,VB TO NN NN,VB TO NN NN
65,convert from proto format,VB IN NN NN,VB IN JJ NN,VB IN NN NN,VB IN VB NN,VB IN NN NN,VB IN NN NN
66,get diagnostic message,VB JJ NN,VB JJ NN,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NN
67,join paths,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
68,is directory,VBZ NN,VBZ NN,VBZ NN,VBZ NN,VBZ NN,VBZ NN
69,is file pretending to be directory,VBZ NN VBG TO VB NN,VBZ NN VBG TO VB NN,VBZ NN NN TO VB NN,VBZ NN NN TO VB NN,VBZ NN NN TO VB NN,VBZ NN VBG TO VB NN
70,is root dir,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN
71,debug,VB,VB,VB,VB,VB,NN
72,debug ex,VB NN,VB NN,VB NN,VB NN,VB NN,NN NN
73,trace,VB,NN,NN,NN,NN,VB
74,partition filename from number,NN NN IN NN,NN NN IN NN,NN NN IN NN,NN NN IN NN,NN NN IN NN,NN NN IN NN
75,ls,VB,VB,VB,VBZ,NN,FW
